,sharpness
180,"tf.Tensor(8.129022168911938, shape=(), dtype=float64)"
181,"tf.Tensor(6.920546080462473, shape=(), dtype=float64)"
182,"tf.Tensor(5.771644089761885, shape=(), dtype=float64)"
183,"tf.Tensor(5.612656832886433, shape=(), dtype=float64)"
184,"tf.Tensor(5.630284740141707, shape=(), dtype=float64)"
185,"tf.Tensor(5.79971353462499, shape=(), dtype=float64)"
186,"tf.Tensor(7.281181254098122, shape=(), dtype=float64)"
187,"tf.Tensor(7.3567035548106965, shape=(), dtype=float64)"
188,"tf.Tensor(7.0112788037802956, shape=(), dtype=float64)"
189,"tf.Tensor(7.5514516501253315, shape=(), dtype=float64)"
190,"tf.Tensor(4.329892121898695, shape=(), dtype=float64)"
191,"tf.Tensor(7.273189689303228, shape=(), dtype=float64)"
192,"tf.Tensor(5.794022297826624, shape=(), dtype=float64)"
193,"tf.Tensor(6.977185891732728, shape=(), dtype=float64)"
194,"tf.Tensor(7.2835733798940465, shape=(), dtype=float64)"
195,"tf.Tensor(7.176423877303805, shape=(), dtype=float64)"
196,"tf.Tensor(5.943647210693849, shape=(), dtype=float64)"
197,"tf.Tensor(7.940339816572369, shape=(), dtype=float64)"
198,"tf.Tensor(6.432067294626356, shape=(), dtype=float64)"
199,"tf.Tensor(6.271787340723005, shape=(), dtype=float64)"
200,"tf.Tensor(6.734594388441788, shape=(), dtype=float64)"
201,"tf.Tensor(5.794909134442172, shape=(), dtype=float64)"
202,"tf.Tensor(7.826230009073868, shape=(), dtype=float64)"
203,"tf.Tensor(6.726164367156035, shape=(), dtype=float64)"
204,"tf.Tensor(6.480585104357742, shape=(), dtype=float64)"
205,"tf.Tensor(7.719120222901139, shape=(), dtype=float64)"
206,"tf.Tensor(7.516472292320947, shape=(), dtype=float64)"
207,"tf.Tensor(6.004562061305188, shape=(), dtype=float64)"
208,"tf.Tensor(7.025452030653803, shape=(), dtype=float64)"
209,"tf.Tensor(4.418445004894973, shape=(), dtype=float64)"
210,"tf.Tensor(6.551919033568786, shape=(), dtype=float64)"
211,"tf.Tensor(5.959520007547315, shape=(), dtype=float64)"
212,"tf.Tensor(6.832954835947692, shape=(), dtype=float64)"
213,"tf.Tensor(7.157254581315184, shape=(), dtype=float64)"
214,"tf.Tensor(8.752376634104508, shape=(), dtype=float64)"
215,"tf.Tensor(6.609837797676259, shape=(), dtype=float64)"
216,"tf.Tensor(7.008272339266279, shape=(), dtype=float64)"
217,"tf.Tensor(7.927045219604849, shape=(), dtype=float64)"
218,"tf.Tensor(7.473578071245963, shape=(), dtype=float64)"
219,"tf.Tensor(6.156739126577639, shape=(), dtype=float64)"
220,"tf.Tensor(6.397378550974601, shape=(), dtype=float64)"
221,"tf.Tensor(6.669085422763953, shape=(), dtype=float64)"
222,"tf.Tensor(7.81143811660004, shape=(), dtype=float64)"
223,"tf.Tensor(7.240925663483627, shape=(), dtype=float64)"
224,"tf.Tensor(6.175243783548603, shape=(), dtype=float64)"
225,"tf.Tensor(7.862259648895058, shape=(), dtype=float64)"
226,"tf.Tensor(9.075682621740434, shape=(), dtype=float64)"
227,"tf.Tensor(6.245824260535767, shape=(), dtype=float64)"
228,"tf.Tensor(4.900829628842831, shape=(), dtype=float64)"
229,"tf.Tensor(6.224184979699188, shape=(), dtype=float64)"
230,"tf.Tensor(7.894007859727746, shape=(), dtype=float64)"
231,"tf.Tensor(7.126499582156736, shape=(), dtype=float64)"
232,"tf.Tensor(6.496899028442337, shape=(), dtype=float64)"
233,"tf.Tensor(6.049834569491403, shape=(), dtype=float64)"
234,"tf.Tensor(5.476682447048134, shape=(), dtype=float64)"
235,"tf.Tensor(7.669616032099705, shape=(), dtype=float64)"
236,"tf.Tensor(8.080432885206314, shape=(), dtype=float64)"
237,"tf.Tensor(5.318679766949838, shape=(), dtype=float64)"
238,"tf.Tensor(7.878533440559098, shape=(), dtype=float64)"
239,"tf.Tensor(7.063953620525196, shape=(), dtype=float64)"
240,"tf.Tensor(5.105340422880078, shape=(), dtype=float64)"
241,"tf.Tensor(4.850025257700894, shape=(), dtype=float64)"
242,"tf.Tensor(6.450957269775047, shape=(), dtype=float64)"
243,"tf.Tensor(6.561500021597989, shape=(), dtype=float64)"
244,"tf.Tensor(6.6131421992600075, shape=(), dtype=float64)"
245,"tf.Tensor(5.368218338936891, shape=(), dtype=float64)"
246,"tf.Tensor(7.398427711887691, shape=(), dtype=float64)"
247,"tf.Tensor(7.027539799910817, shape=(), dtype=float64)"
248,"tf.Tensor(7.656850479201946, shape=(), dtype=float64)"
249,"tf.Tensor(6.099401971600124, shape=(), dtype=float64)"
250,"tf.Tensor(6.597326448466659, shape=(), dtype=float64)"
251,
252,"tf.Tensor(7.218029605381188, shape=(), dtype=float64)"
253,"tf.Tensor(7.303779649131476, shape=(), dtype=float64)"
254,"tf.Tensor(5.941886993683388, shape=(), dtype=float64)"
255,"tf.Tensor(7.678819794710402, shape=(), dtype=float64)"
256,"tf.Tensor(2.371355572623402, shape=(), dtype=float64)"
257,"tf.Tensor(8.475999898161165, shape=(), dtype=float64)"
258,"tf.Tensor(6.299481560502137, shape=(), dtype=float64)"
259,"tf.Tensor(5.485610639156969, shape=(), dtype=float64)"
260,"tf.Tensor(5.5479496879410055, shape=(), dtype=float64)"
261,"tf.Tensor(7.504099522906832, shape=(), dtype=float64)"
262,"tf.Tensor(7.163491009394966, shape=(), dtype=float64)"
263,"tf.Tensor(6.237018225144485, shape=(), dtype=float64)"
264,"tf.Tensor(4.859106354934448, shape=(), dtype=float64)"
265,"tf.Tensor(6.824511574287474, shape=(), dtype=float64)"
266,"tf.Tensor(6.16523660924324, shape=(), dtype=float64)"
267,"tf.Tensor(7.3189508409131605, shape=(), dtype=float64)"
268,"tf.Tensor(6.898542388595034, shape=(), dtype=float64)"
269,"tf.Tensor(8.243003235304299, shape=(), dtype=float64)"
270,"tf.Tensor(5.428442685329161, shape=(), dtype=float64)"
271,"tf.Tensor(8.423723496225511, shape=(), dtype=float64)"
272,"tf.Tensor(7.712212871091675, shape=(), dtype=float64)"
273,"tf.Tensor(7.470058766938842, shape=(), dtype=float64)"
274,"tf.Tensor(3.987680318844808, shape=(), dtype=float64)"
275,"tf.Tensor(5.33973653734063, shape=(), dtype=float64)"
276,"tf.Tensor(6.8327404040936495, shape=(), dtype=float64)"
277,"tf.Tensor(7.153176389069625, shape=(), dtype=float64)"
278,"tf.Tensor(7.542349635865977, shape=(), dtype=float64)"
279,"tf.Tensor(5.693856611891299, shape=(), dtype=float64)"
280,"tf.Tensor(9.289434548937688, shape=(), dtype=float64)"
281,"tf.Tensor(6.490042510009498, shape=(), dtype=float64)"
282,"tf.Tensor(7.0099593037264745, shape=(), dtype=float64)"
283,"tf.Tensor(7.031964513046936, shape=(), dtype=float64)"
284,"tf.Tensor(5.6008428900285665, shape=(), dtype=float64)"
285,"tf.Tensor(5.8138592709678045, shape=(), dtype=float64)"
286,"tf.Tensor(7.314108603891021, shape=(), dtype=float64)"
287,"tf.Tensor(7.017594339089765, shape=(), dtype=float64)"
288,"tf.Tensor(5.916709407900179, shape=(), dtype=float64)"
289,"tf.Tensor(6.450857241325119, shape=(), dtype=float64)"
290,"tf.Tensor(6.545007176939609, shape=(), dtype=float64)"
291,"tf.Tensor(6.888225078749981, shape=(), dtype=float64)"
292,"tf.Tensor(8.474622534410903, shape=(), dtype=float64)"
293,"tf.Tensor(7.32150677720253, shape=(), dtype=float64)"
294,"tf.Tensor(6.3604050409565005, shape=(), dtype=float64)"
295,"tf.Tensor(8.579825767188996, shape=(), dtype=float64)"
296,"tf.Tensor(7.612535103642687, shape=(), dtype=float64)"
297,"tf.Tensor(7.256943386787237, shape=(), dtype=float64)"
298,"tf.Tensor(6.648402235613158, shape=(), dtype=float64)"
299,"tf.Tensor(8.651613458648793, shape=(), dtype=float64)"
300,"tf.Tensor(6.238540108810864, shape=(), dtype=float64)"
301,"tf.Tensor(8.58624306139177, shape=(), dtype=float64)"
302,"tf.Tensor(6.745238861327388, shape=(), dtype=float64)"
303,"tf.Tensor(6.445835793853258, shape=(), dtype=float64)"
304,"tf.Tensor(5.107839329118709, shape=(), dtype=float64)"
305,"tf.Tensor(5.720426091226045, shape=(), dtype=float64)"
306,"tf.Tensor(6.243647996069844, shape=(), dtype=float64)"
307,"tf.Tensor(7.375714821979692, shape=(), dtype=float64)"
308,"tf.Tensor(4.909615564717933, shape=(), dtype=float64)"
309,"tf.Tensor(6.3382053962309355, shape=(), dtype=float64)"
310,"tf.Tensor(7.040212276785467, shape=(), dtype=float64)"
311,"tf.Tensor(6.313740447192885, shape=(), dtype=float64)"
312,"tf.Tensor(6.3815448231745595, shape=(), dtype=float64)"
313,"tf.Tensor(6.297565398727524, shape=(), dtype=float64)"
314,"tf.Tensor(6.447492947192199, shape=(), dtype=float64)"
315,"tf.Tensor(5.793229727289862, shape=(), dtype=float64)"
316,"tf.Tensor(5.577649040199855, shape=(), dtype=float64)"
317,"tf.Tensor(5.90900878108409, shape=(), dtype=float64)"
318,"tf.Tensor(7.208669603362219, shape=(), dtype=float64)"
319,"tf.Tensor(5.666417639990771, shape=(), dtype=float64)"
320,"tf.Tensor(6.815439938829108, shape=(), dtype=float64)"
321,"tf.Tensor(5.418720940353388, shape=(), dtype=float64)"
322,"tf.Tensor(4.88441880572144, shape=(), dtype=float64)"
323,"tf.Tensor(6.784369176901633, shape=(), dtype=float64)"
324,"tf.Tensor(5.327104169713855, shape=(), dtype=float64)"
325,"tf.Tensor(6.371517379782379, shape=(), dtype=float64)"
326,"tf.Tensor(5.9759618399164305, shape=(), dtype=float64)"
327,"tf.Tensor(5.290880932652785, shape=(), dtype=float64)"
328,"tf.Tensor(7.620105603669147, shape=(), dtype=float64)"
329,"tf.Tensor(7.9439670561169615, shape=(), dtype=float64)"
330,"tf.Tensor(7.170118355259774, shape=(), dtype=float64)"
331,"tf.Tensor(6.039616830921888, shape=(), dtype=float64)"
332,"tf.Tensor(6.284619948159483, shape=(), dtype=float64)"
333,"tf.Tensor(5.995903071162941, shape=(), dtype=float64)"
334,"tf.Tensor(6.477394618590066, shape=(), dtype=float64)"
335,"tf.Tensor(6.7455697508830745, shape=(), dtype=float64)"
336,"tf.Tensor(5.459021893309499, shape=(), dtype=float64)"
337,"tf.Tensor(5.652210002968778, shape=(), dtype=float64)"
338,"tf.Tensor(6.734521780324112, shape=(), dtype=float64)"
339,"tf.Tensor(7.487504827374904, shape=(), dtype=float64)"
340,"tf.Tensor(4.751510601683502, shape=(), dtype=float64)"
341,"tf.Tensor(6.135924077987577, shape=(), dtype=float64)"
342,"tf.Tensor(8.736916041658343, shape=(), dtype=float64)"
343,"tf.Tensor(6.192010884246919, shape=(), dtype=float64)"
344,"tf.Tensor(7.185209327061427, shape=(), dtype=float64)"
345,"tf.Tensor(5.999622098288137, shape=(), dtype=float64)"
346,"tf.Tensor(6.973386034818612, shape=(), dtype=float64)"
347,"tf.Tensor(8.037976303818489, shape=(), dtype=float64)"
348,"tf.Tensor(5.45026324714094, shape=(), dtype=float64)"
349,"tf.Tensor(6.021132768277325, shape=(), dtype=float64)"
350,"tf.Tensor(6.588192784450041, shape=(), dtype=float64)"
351,"tf.Tensor(4.605879878770919, shape=(), dtype=float64)"
352,"tf.Tensor(7.045631888904899, shape=(), dtype=float64)"
353,"tf.Tensor(6.934882981100933, shape=(), dtype=float64)"
354,"tf.Tensor(6.660948183221974, shape=(), dtype=float64)"
355,"tf.Tensor(5.8838589907989, shape=(), dtype=float64)"
356,"tf.Tensor(7.746598024175501, shape=(), dtype=float64)"
357,"tf.Tensor(7.874535381354236, shape=(), dtype=float64)"
358,"tf.Tensor(6.861119124887225, shape=(), dtype=float64)"
359,"tf.Tensor(7.3918138189936, shape=(), dtype=float64)"
360,"tf.Tensor(6.653543528317976, shape=(), dtype=float64)"
361,"tf.Tensor(6.818012261245521, shape=(), dtype=float64)"
362,"tf.Tensor(7.300939016136136, shape=(), dtype=float64)"
363,"tf.Tensor(8.046262636167633, shape=(), dtype=float64)"
364,"tf.Tensor(6.631087722047484, shape=(), dtype=float64)"
365,"tf.Tensor(3.3490319296650357, shape=(), dtype=float64)"
