,sharpness
2438,"tf.Tensor(6.081899200736065, shape=(), dtype=float64)"
2439,"tf.Tensor(6.264043599831983, shape=(), dtype=float64)"
2440,"tf.Tensor(6.878353258752728, shape=(), dtype=float64)"
2441,"tf.Tensor(7.3982400108725015, shape=(), dtype=float64)"
2442,"tf.Tensor(7.936125807299786, shape=(), dtype=float64)"
2443,"tf.Tensor(7.614608888131163, shape=(), dtype=float64)"
2444,"tf.Tensor(7.995957850521528, shape=(), dtype=float64)"
2445,"tf.Tensor(5.852598391739379, shape=(), dtype=float64)"
2446,"tf.Tensor(6.709373777576776, shape=(), dtype=float64)"
2447,"tf.Tensor(6.168381928555622, shape=(), dtype=float64)"
2448,"tf.Tensor(6.447793630907726, shape=(), dtype=float64)"
2449,"tf.Tensor(8.291622428395554, shape=(), dtype=float64)"
2450,"tf.Tensor(7.518741600082852, shape=(), dtype=float64)"
2451,"tf.Tensor(6.426338320728547, shape=(), dtype=float64)"
2452,"tf.Tensor(6.985553117543102, shape=(), dtype=float64)"
2453,"tf.Tensor(5.424258366031165, shape=(), dtype=float64)"
2454,"tf.Tensor(7.001009545308922, shape=(), dtype=float64)"
2455,"tf.Tensor(7.254838012789523, shape=(), dtype=float64)"
2456,"tf.Tensor(6.144972571312567, shape=(), dtype=float64)"
2457,"tf.Tensor(7.608642653284869, shape=(), dtype=float64)"
2458,"tf.Tensor(6.6981534375596175, shape=(), dtype=float64)"
2459,"tf.Tensor(5.645343315534194, shape=(), dtype=float64)"
2460,"tf.Tensor(7.661899430028526, shape=(), dtype=float64)"
2461,"tf.Tensor(5.528838858751786, shape=(), dtype=float64)"
2462,"tf.Tensor(6.206219525565052, shape=(), dtype=float64)"
2463,"tf.Tensor(6.934545047152224, shape=(), dtype=float64)"
2464,"tf.Tensor(6.907912514353143, shape=(), dtype=float64)"
2465,"tf.Tensor(6.301668846311643, shape=(), dtype=float64)"
2466,"tf.Tensor(5.006289217214603, shape=(), dtype=float64)"
2467,"tf.Tensor(5.728735671196313, shape=(), dtype=float64)"
2468,"tf.Tensor(7.078732390927624, shape=(), dtype=float64)"
2469,"tf.Tensor(8.551407043127693, shape=(), dtype=float64)"
2470,"tf.Tensor(6.759193561178134, shape=(), dtype=float64)"
2471,"tf.Tensor(8.47868475015761, shape=(), dtype=float64)"
2472,"tf.Tensor(7.711258307104447, shape=(), dtype=float64)"
2473,"tf.Tensor(7.325865899210952, shape=(), dtype=float64)"
2474,"tf.Tensor(6.267496463082603, shape=(), dtype=float64)"
2475,"tf.Tensor(5.533797311502526, shape=(), dtype=float64)"
2476,"tf.Tensor(3.853151783592623, shape=(), dtype=float64)"
2477,"tf.Tensor(7.022980774460365, shape=(), dtype=float64)"
2478,"tf.Tensor(7.126809785615866, shape=(), dtype=float64)"
2479,"tf.Tensor(7.1934608367057296, shape=(), dtype=float64)"
2480,"tf.Tensor(5.834906811286208, shape=(), dtype=float64)"
2481,"tf.Tensor(7.194157371576424, shape=(), dtype=float64)"
2482,"tf.Tensor(5.920858924898469, shape=(), dtype=float64)"
2483,"tf.Tensor(6.109178514800016, shape=(), dtype=float64)"
2484,"tf.Tensor(6.931583957668983, shape=(), dtype=float64)"
2485,"tf.Tensor(5.3375599790417425, shape=(), dtype=float64)"
2486,"tf.Tensor(6.045003778264454, shape=(), dtype=float64)"
2487,"tf.Tensor(6.9806850663406586, shape=(), dtype=float64)"
2488,"tf.Tensor(5.776617433827133, shape=(), dtype=float64)"
2489,"tf.Tensor(6.277312592927822, shape=(), dtype=float64)"
2490,"tf.Tensor(6.919095965038467, shape=(), dtype=float64)"
2491,"tf.Tensor(7.599928421704758, shape=(), dtype=float64)"
2492,"tf.Tensor(6.218918728730755, shape=(), dtype=float64)"
2493,"tf.Tensor(6.6112356494438425, shape=(), dtype=float64)"
2494,"tf.Tensor(7.136153126188863, shape=(), dtype=float64)"
2495,"tf.Tensor(7.127910534402448, shape=(), dtype=float64)"
2496,"tf.Tensor(7.0354169091665675, shape=(), dtype=float64)"
2497,"tf.Tensor(7.829215300377503, shape=(), dtype=float64)"
2498,"tf.Tensor(6.329149151113555, shape=(), dtype=float64)"
2499,"tf.Tensor(6.9862832671399175, shape=(), dtype=float64)"
2500,"tf.Tensor(7.480968256576334, shape=(), dtype=float64)"
2501,"tf.Tensor(6.190604079540986, shape=(), dtype=float64)"
2502,"tf.Tensor(7.836957014154935, shape=(), dtype=float64)"
2503,"tf.Tensor(7.777800665550535, shape=(), dtype=float64)"
2504,"tf.Tensor(7.483531279878555, shape=(), dtype=float64)"
2505,"tf.Tensor(8.295147838609576, shape=(), dtype=float64)"
2506,"tf.Tensor(7.330545522044529, shape=(), dtype=float64)"
2507,"tf.Tensor(6.600628465144977, shape=(), dtype=float64)"
2508,"tf.Tensor(8.186795739601795, shape=(), dtype=float64)"
2509,"tf.Tensor(7.350052900604413, shape=(), dtype=float64)"
2510,"tf.Tensor(7.240925663483627, shape=(), dtype=float64)"
2511,"tf.Tensor(6.228964159672513, shape=(), dtype=float64)"
2512,"tf.Tensor(8.604562263311891, shape=(), dtype=float64)"
2513,"tf.Tensor(7.220092019509273, shape=(), dtype=float64)"
2514,"tf.Tensor(8.148918887376558, shape=(), dtype=float64)"
2515,"tf.Tensor(5.7969771535995935, shape=(), dtype=float64)"
2516,"tf.Tensor(6.970370174886671, shape=(), dtype=float64)"
2517,"tf.Tensor(7.039612442853833, shape=(), dtype=float64)"
2518,"tf.Tensor(7.019844021737377, shape=(), dtype=float64)"
2519,"tf.Tensor(6.730362935764945, shape=(), dtype=float64)"
2520,"tf.Tensor(5.886165514921478, shape=(), dtype=float64)"
2521,"tf.Tensor(4.341137553596113, shape=(), dtype=float64)"
2522,"tf.Tensor(5.624565833881098, shape=(), dtype=float64)"
2523,"tf.Tensor(8.46828487920128, shape=(), dtype=float64)"
2524,"tf.Tensor(6.594634077049922, shape=(), dtype=float64)"
2525,"tf.Tensor(6.8733733995714275, shape=(), dtype=float64)"
2526,"tf.Tensor(6.783028011622579, shape=(), dtype=float64)"
2527,"tf.Tensor(6.979630829280616, shape=(), dtype=float64)"
2528,"tf.Tensor(8.71273939112596, shape=(), dtype=float64)"
2529,"tf.Tensor(6.307923894899521, shape=(), dtype=float64)"
2530,"tf.Tensor(6.578488154351786, shape=(), dtype=float64)"
2531,"tf.Tensor(6.738451435339507, shape=(), dtype=float64)"
2532,"tf.Tensor(5.3066063714726175, shape=(), dtype=float64)"
2533,"tf.Tensor(5.247744323548955, shape=(), dtype=float64)"
2534,"tf.Tensor(5.932750999890018, shape=(), dtype=float64)"
2535,"tf.Tensor(6.519411559900832, shape=(), dtype=float64)"
2536,"tf.Tensor(5.955321326287862, shape=(), dtype=float64)"
2537,"tf.Tensor(7.023887628040539, shape=(), dtype=float64)"
2538,"tf.Tensor(6.1012738662775305, shape=(), dtype=float64)"
2539,"tf.Tensor(7.308182411549665, shape=(), dtype=float64)"
2540,"tf.Tensor(6.950004602219326, shape=(), dtype=float64)"
2541,"tf.Tensor(5.5830448029765165, shape=(), dtype=float64)"
2542,"tf.Tensor(5.6684421883443346, shape=(), dtype=float64)"
2543,"tf.Tensor(7.165241502714613, shape=(), dtype=float64)"
2544,"tf.Tensor(5.739812360852548, shape=(), dtype=float64)"
2545,"tf.Tensor(4.794873289979974, shape=(), dtype=float64)"
2546,"tf.Tensor(8.155451026812056, shape=(), dtype=float64)"
2547,"tf.Tensor(7.201211256559726, shape=(), dtype=float64)"
2548,"tf.Tensor(6.203027133629222, shape=(), dtype=float64)"
2549,"tf.Tensor(5.7732367851382875, shape=(), dtype=float64)"
2550,"tf.Tensor(6.637300933714976, shape=(), dtype=float64)"
2551,"tf.Tensor(8.469442093253665, shape=(), dtype=float64)"
2552,"tf.Tensor(6.5749472838500544, shape=(), dtype=float64)"
2553,"tf.Tensor(8.246109908110332, shape=(), dtype=float64)"
2554,"tf.Tensor(6.761399279266769, shape=(), dtype=float64)"
2555,"tf.Tensor(5.469970554475057, shape=(), dtype=float64)"
2556,"tf.Tensor(5.9773863973297106, shape=(), dtype=float64)"
2557,"tf.Tensor(5.456584712317562, shape=(), dtype=float64)"
2558,"tf.Tensor(7.132059390483843, shape=(), dtype=float64)"
2559,"tf.Tensor(8.026275122132853, shape=(), dtype=float64)"
2560,"tf.Tensor(5.443114441630694, shape=(), dtype=float64)"
2561,"tf.Tensor(5.075230586670519, shape=(), dtype=float64)"
2562,"tf.Tensor(5.657522670295611, shape=(), dtype=float64)"
2563,"tf.Tensor(7.171753470786446, shape=(), dtype=float64)"
2564,"tf.Tensor(4.074019513472428, shape=(), dtype=float64)"
2565,"tf.Tensor(6.362059461326458, shape=(), dtype=float64)"
2566,"tf.Tensor(6.833384374552591, shape=(), dtype=float64)"
2567,"tf.Tensor(6.064830471470102, shape=(), dtype=float64)"
2568,"tf.Tensor(5.844798833860516, shape=(), dtype=float64)"
2569,"tf.Tensor(5.02422672537091, shape=(), dtype=float64)"
2570,"tf.Tensor(6.34390539911077, shape=(), dtype=float64)"
2571,"tf.Tensor(5.860685211170499, shape=(), dtype=float64)"
2572,"tf.Tensor(6.4093018176837, shape=(), dtype=float64)"
2573,"tf.Tensor(5.139171995088294, shape=(), dtype=float64)"
2574,"tf.Tensor(5.92862213210519, shape=(), dtype=float64)"
2575,"tf.Tensor(5.818824946972539, shape=(), dtype=float64)"
2576,"tf.Tensor(5.996279699214399, shape=(), dtype=float64)"
2577,"tf.Tensor(6.5010594801803565, shape=(), dtype=float64)"
2578,"tf.Tensor(5.502831504650143, shape=(), dtype=float64)"
2579,"tf.Tensor(7.392110601852544, shape=(), dtype=float64)"
2580,"tf.Tensor(6.483093035929707, shape=(), dtype=float64)"
2581,"tf.Tensor(7.601282147217612, shape=(), dtype=float64)"
2582,"tf.Tensor(6.321608556131654, shape=(), dtype=float64)"
2583,"tf.Tensor(6.558110041537977, shape=(), dtype=float64)"
2584,"tf.Tensor(6.237473368510409, shape=(), dtype=float64)"
2585,"tf.Tensor(7.39913539734155, shape=(), dtype=float64)"
2586,"tf.Tensor(7.189176504738028, shape=(), dtype=float64)"
2587,"tf.Tensor(6.550973589053735, shape=(), dtype=float64)"
2588,"tf.Tensor(5.166678359276318, shape=(), dtype=float64)"
2589,"tf.Tensor(7.802891418587148, shape=(), dtype=float64)"
2590,"tf.Tensor(5.848741957826511, shape=(), dtype=float64)"
2591,"tf.Tensor(6.649811304298125, shape=(), dtype=float64)"
2592,"tf.Tensor(7.045267156109598, shape=(), dtype=float64)"
2593,"tf.Tensor(7.151471697357574, shape=(), dtype=float64)"
2594,"tf.Tensor(7.537870992216845, shape=(), dtype=float64)"
2595,"tf.Tensor(6.396827513611985, shape=(), dtype=float64)"
2596,"tf.Tensor(8.186795739601795, shape=(), dtype=float64)"
2597,"tf.Tensor(7.058609672396561, shape=(), dtype=float64)"
2598,"tf.Tensor(5.674336371680164, shape=(), dtype=float64)"
2599,"tf.Tensor(5.555868739779592, shape=(), dtype=float64)"
2600,"tf.Tensor(7.38764034031939, shape=(), dtype=float64)"
2601,"tf.Tensor(6.43360069687803, shape=(), dtype=float64)"
2602,"tf.Tensor(6.59046075795378, shape=(), dtype=float64)"
2603,"tf.Tensor(6.342878998737356, shape=(), dtype=float64)"
2604,"tf.Tensor(5.88551337261289, shape=(), dtype=float64)"
2605,"tf.Tensor(4.468714724288566, shape=(), dtype=float64)"
2606,"tf.Tensor(8.84453367331021, shape=(), dtype=float64)"
2607,"tf.Tensor(8.288726337814113, shape=(), dtype=float64)"
2608,
2609,"tf.Tensor(6.736979778329303, shape=(), dtype=float64)"
2610,"tf.Tensor(6.6311912891238185, shape=(), dtype=float64)"
2611,"tf.Tensor(5.166678359276318, shape=(), dtype=float64)"
2612,"tf.Tensor(8.33038253367443, shape=(), dtype=float64)"
2613,"tf.Tensor(6.7009242314304185, shape=(), dtype=float64)"
2614,"tf.Tensor(6.635857432519477, shape=(), dtype=float64)"
2615,"tf.Tensor(6.91818528357749, shape=(), dtype=float64)"
2616,"tf.Tensor(8.93104258958249, shape=(), dtype=float64)"
2617,"tf.Tensor(8.740714097128867, shape=(), dtype=float64)"
2618,"tf.Tensor(7.698585805016135, shape=(), dtype=float64)"
2619,"tf.Tensor(7.605583673444199, shape=(), dtype=float64)"
2620,"tf.Tensor(6.2218834444835585, shape=(), dtype=float64)"
2621,"tf.Tensor(5.608982062119465, shape=(), dtype=float64)"
2622,"tf.Tensor(6.460933436596909, shape=(), dtype=float64)"
2623,"tf.Tensor(8.180422527571872, shape=(), dtype=float64)"
2624,"tf.Tensor(6.806998027012623, shape=(), dtype=float64)"
2625,"tf.Tensor(6.52231691442706, shape=(), dtype=float64)"
2626,"tf.Tensor(6.654263927128395, shape=(), dtype=float64)"
2627,"tf.Tensor(4.674228607784789, shape=(), dtype=float64)"
2628,"tf.Tensor(5.8807274362950315, shape=(), dtype=float64)"
2629,"tf.Tensor(6.553273982009375, shape=(), dtype=float64)"
2630,"tf.Tensor(5.68267561563537, shape=(), dtype=float64)"
2631,"tf.Tensor(7.24160709724443, shape=(), dtype=float64)"
2632,"tf.Tensor(6.777819065565966, shape=(), dtype=float64)"
2633,"tf.Tensor(8.713595930897181, shape=(), dtype=float64)"
2634,"tf.Tensor(8.155451026812056, shape=(), dtype=float64)"
2635,"tf.Tensor(7.25255465423468, shape=(), dtype=float64)"
2636,"tf.Tensor(6.87449976184149, shape=(), dtype=float64)"
2637,"tf.Tensor(7.689540761321767, shape=(), dtype=float64)"
2638,"tf.Tensor(6.501438008548005, shape=(), dtype=float64)"
2639,"tf.Tensor(6.713857958323691, shape=(), dtype=float64)"
2640,"tf.Tensor(6.457572391905879, shape=(), dtype=float64)"
2641,"tf.Tensor(7.098212326985446, shape=(), dtype=float64)"
2642,"tf.Tensor(6.5627371757499775, shape=(), dtype=float64)"
2643,"tf.Tensor(5.960360166650964, shape=(), dtype=float64)"
2644,"tf.Tensor(8.079959832227143, shape=(), dtype=float64)"
2645,"tf.Tensor(6.30856451621942, shape=(), dtype=float64)"
2646,"tf.Tensor(5.963698575348515, shape=(), dtype=float64)"
2647,"tf.Tensor(6.490046073972192, shape=(), dtype=float64)"
2648,"tf.Tensor(8.21433381633719, shape=(), dtype=float64)"
2649,"tf.Tensor(5.925117446196047, shape=(), dtype=float64)"
2650,"tf.Tensor(6.9996357840410806, shape=(), dtype=float64)"
2651,"tf.Tensor(7.701305893138932, shape=(), dtype=float64)"
2652,"tf.Tensor(6.609776303846952, shape=(), dtype=float64)"
2653,"tf.Tensor(6.537634525333742, shape=(), dtype=float64)"
2654,"tf.Tensor(6.635857432519477, shape=(), dtype=float64)"
2655,"tf.Tensor(5.890048169166595, shape=(), dtype=float64)"
2656,"tf.Tensor(6.979807010509786, shape=(), dtype=float64)"
2657,"tf.Tensor(6.509453779107567, shape=(), dtype=float64)"
2658,"tf.Tensor(6.878187541507773, shape=(), dtype=float64)"
2659,"tf.Tensor(7.76736932759037, shape=(), dtype=float64)"
2660,"tf.Tensor(8.416212020709093, shape=(), dtype=float64)"
2661,"tf.Tensor(7.497608701459089, shape=(), dtype=float64)"
2662,"tf.Tensor(6.796253727701808, shape=(), dtype=float64)"
2663,"tf.Tensor(5.898776523650211, shape=(), dtype=float64)"
2664,"tf.Tensor(8.371997988271607, shape=(), dtype=float64)"
2665,"tf.Tensor(8.415518527719618, shape=(), dtype=float64)"
2666,"tf.Tensor(8.050511990977055, shape=(), dtype=float64)"
2667,"tf.Tensor(7.0237583930657195, shape=(), dtype=float64)"
2668,"tf.Tensor(6.469156054357525, shape=(), dtype=float64)"
2669,"tf.Tensor(5.794909134442172, shape=(), dtype=float64)"
2670,"tf.Tensor(7.560568884225161, shape=(), dtype=float64)"
2671,"tf.Tensor(7.669884762610882, shape=(), dtype=float64)"
2672,"tf.Tensor(5.366552213780681, shape=(), dtype=float64)"
2673,"tf.Tensor(7.368138866460682, shape=(), dtype=float64)"
2674,"tf.Tensor(5.722850208592868, shape=(), dtype=float64)"
2675,"tf.Tensor(5.933383386229855, shape=(), dtype=float64)"
2676,"tf.Tensor(5.833178632484245, shape=(), dtype=float64)"
2677,"tf.Tensor(7.557231600109888, shape=(), dtype=float64)"
2678,"tf.Tensor(7.234597975164709, shape=(), dtype=float64)"
2679,"tf.Tensor(8.355665759288774, shape=(), dtype=float64)"
2680,"tf.Tensor(8.473539373124757, shape=(), dtype=float64)"
2681,"tf.Tensor(7.504571650450723, shape=(), dtype=float64)"
2682,"tf.Tensor(6.8922920514796875, shape=(), dtype=float64)"
2683,"tf.Tensor(5.828317164137848, shape=(), dtype=float64)"
2684,"tf.Tensor(7.43406169635203, shape=(), dtype=float64)"
2685,"tf.Tensor(6.304211683826122, shape=(), dtype=float64)"
2686,"tf.Tensor(6.603292670382265, shape=(), dtype=float64)"
2687,"tf.Tensor(7.249509469772983, shape=(), dtype=float64)"
2688,"tf.Tensor(4.500552357675151, shape=(), dtype=float64)"
2689,"tf.Tensor(6.585602356516657, shape=(), dtype=float64)"
2690,"tf.Tensor(7.4556579423281155, shape=(), dtype=float64)"
2691,"tf.Tensor(5.849435573384422, shape=(), dtype=float64)"
2692,"tf.Tensor(7.955347409018907, shape=(), dtype=float64)"
2693,"tf.Tensor(6.998492088830826, shape=(), dtype=float64)"
2694,"tf.Tensor(7.0049744533391225, shape=(), dtype=float64)"
2695,"tf.Tensor(5.63736629630395, shape=(), dtype=float64)"
2696,"tf.Tensor(6.455449424073695, shape=(), dtype=float64)"
2697,"tf.Tensor(5.5843553991116215, shape=(), dtype=float64)"
2698,"tf.Tensor(5.332316262304211, shape=(), dtype=float64)"
2699,"tf.Tensor(8.412100444453555, shape=(), dtype=float64)"
2700,"tf.Tensor(7.486765133512143, shape=(), dtype=float64)"
2701,"tf.Tensor(6.1024002139643745, shape=(), dtype=float64)"
2702,"tf.Tensor(7.369213224857744, shape=(), dtype=float64)"
2703,"tf.Tensor(7.677568835984318, shape=(), dtype=float64)"
2704,"tf.Tensor(7.230087155058982, shape=(), dtype=float64)"
2705,"tf.Tensor(6.057521457570639, shape=(), dtype=float64)"
2706,"tf.Tensor(7.173261589865996, shape=(), dtype=float64)"
2707,"tf.Tensor(7.9392624264352945, shape=(), dtype=float64)"
2708,"tf.Tensor(6.153777379559478, shape=(), dtype=float64)"
2709,"tf.Tensor(5.263429650398702, shape=(), dtype=float64)"
2710,"tf.Tensor(7.372252025236771, shape=(), dtype=float64)"
2711,"tf.Tensor(6.111561987930198, shape=(), dtype=float64)"
2712,"tf.Tensor(6.296776635171493, shape=(), dtype=float64)"
2713,"tf.Tensor(6.6754803932132285, shape=(), dtype=float64)"
2714,"tf.Tensor(6.104691629586801, shape=(), dtype=float64)"
2715,"tf.Tensor(6.984537358601854, shape=(), dtype=float64)"
2716,"tf.Tensor(7.665965410648905, shape=(), dtype=float64)"
2717,"tf.Tensor(5.348462124554473, shape=(), dtype=float64)"
2718,"tf.Tensor(5.166678359276318, shape=(), dtype=float64)"
2719,"tf.Tensor(6.465532969720773, shape=(), dtype=float64)"
2720,"tf.Tensor(7.104316510298779, shape=(), dtype=float64)"
2721,"tf.Tensor(6.804614529210666, shape=(), dtype=float64)"
2722,"tf.Tensor(7.288068438280548, shape=(), dtype=float64)"
2723,"tf.Tensor(6.090016134278185, shape=(), dtype=float64)"
2724,"tf.Tensor(8.300481665350114, shape=(), dtype=float64)"
2725,"tf.Tensor(5.775864630591236, shape=(), dtype=float64)"
2726,"tf.Tensor(6.259811048732539, shape=(), dtype=float64)"
2727,"tf.Tensor(5.910890886880969, shape=(), dtype=float64)"
2728,"tf.Tensor(5.9800020465663755, shape=(), dtype=float64)"
2729,"tf.Tensor(5.907374452333289, shape=(), dtype=float64)"
2730,"tf.Tensor(7.697145890057305, shape=(), dtype=float64)"
2731,"tf.Tensor(6.828797583697987, shape=(), dtype=float64)"
2732,"tf.Tensor(6.548977453852865, shape=(), dtype=float64)"
2733,"tf.Tensor(6.806632983823876, shape=(), dtype=float64)"
2734,"tf.Tensor(5.907374452333289, shape=(), dtype=float64)"
2735,"tf.Tensor(7.120199255139422, shape=(), dtype=float64)"
2736,"tf.Tensor(4.641364321338702, shape=(), dtype=float64)"
2737,"tf.Tensor(5.808561713163688, shape=(), dtype=float64)"
2738,"tf.Tensor(5.0715199845893775, shape=(), dtype=float64)"
2739,"tf.Tensor(6.7319497370625845, shape=(), dtype=float64)"
2740,"tf.Tensor(7.413349347187634, shape=(), dtype=float64)"
2741,"tf.Tensor(6.440644149141586, shape=(), dtype=float64)"
2742,"tf.Tensor(6.634359645697753, shape=(), dtype=float64)"
2743,"tf.Tensor(5.387801725924515, shape=(), dtype=float64)"
2744,"tf.Tensor(6.590893753329557, shape=(), dtype=float64)"
2745,"tf.Tensor(4.923600469811196, shape=(), dtype=float64)"
2746,"tf.Tensor(5.461612518832419, shape=(), dtype=float64)"
2747,"tf.Tensor(6.471240194329059, shape=(), dtype=float64)"
2748,
2749,"tf.Tensor(6.421605288043963, shape=(), dtype=float64)"
2750,"tf.Tensor(6.637382730295001, shape=(), dtype=float64)"
2751,"tf.Tensor(8.14500857426703, shape=(), dtype=float64)"
2752,"tf.Tensor(6.1310529917756735, shape=(), dtype=float64)"
2753,"tf.Tensor(6.2846013174684545, shape=(), dtype=float64)"
2754,"tf.Tensor(5.802823317244905, shape=(), dtype=float64)"
2755,"tf.Tensor(8.298219912727419, shape=(), dtype=float64)"
2756,"tf.Tensor(7.834823162434116, shape=(), dtype=float64)"
2757,"tf.Tensor(6.7086200749949905, shape=(), dtype=float64)"
2758,"tf.Tensor(4.992960948850161, shape=(), dtype=float64)"
2759,"tf.Tensor(5.803974178334634, shape=(), dtype=float64)"
2760,"tf.Tensor(6.391407416667229, shape=(), dtype=float64)"
2761,"tf.Tensor(5.553678881354302, shape=(), dtype=float64)"
2762,"tf.Tensor(7.790799995299346, shape=(), dtype=float64)"
2763,"tf.Tensor(5.792043054509428, shape=(), dtype=float64)"
2764,"tf.Tensor(6.489744297631336, shape=(), dtype=float64)"
2765,"tf.Tensor(5.719472039830961, shape=(), dtype=float64)"
2766,"tf.Tensor(6.295932758233968, shape=(), dtype=float64)"
2767,"tf.Tensor(6.308358524698512, shape=(), dtype=float64)"
2768,"tf.Tensor(7.551877338947744, shape=(), dtype=float64)"
2769,"tf.Tensor(7.6370430053709795, shape=(), dtype=float64)"
2770,"tf.Tensor(6.005343791730133, shape=(), dtype=float64)"
2771,"tf.Tensor(6.278735587697753, shape=(), dtype=float64)"
2772,"tf.Tensor(6.752505191352349, shape=(), dtype=float64)"
2773,"tf.Tensor(5.18936911302656, shape=(), dtype=float64)"
2774,"tf.Tensor(6.373978296398756, shape=(), dtype=float64)"
2775,"tf.Tensor(7.419012346010013, shape=(), dtype=float64)"
2776,"tf.Tensor(6.372129976276148, shape=(), dtype=float64)"
2777,"tf.Tensor(6.716239096653093, shape=(), dtype=float64)"
2778,"tf.Tensor(8.155451026812056, shape=(), dtype=float64)"
2779,"tf.Tensor(7.407013970362165, shape=(), dtype=float64)"
2780,"tf.Tensor(7.776682142450761, shape=(), dtype=float64)"
2781,"tf.Tensor(7.011155979905018, shape=(), dtype=float64)"
2782,"tf.Tensor(5.254646843514652, shape=(), dtype=float64)"
2783,"tf.Tensor(6.584050300674888, shape=(), dtype=float64)"
2784,"tf.Tensor(6.703853180411409, shape=(), dtype=float64)"
2785,"tf.Tensor(7.352418226692656, shape=(), dtype=float64)"
2786,"tf.Tensor(7.708520868226517, shape=(), dtype=float64)"
2787,"tf.Tensor(4.833486261357209, shape=(), dtype=float64)"
2788,"tf.Tensor(6.7019359076184815, shape=(), dtype=float64)"
2789,"tf.Tensor(7.075549721070224, shape=(), dtype=float64)"
2790,"tf.Tensor(7.647277071838266, shape=(), dtype=float64)"
2791,"tf.Tensor(5.771847459385844, shape=(), dtype=float64)"
2792,"tf.Tensor(4.776367369417796, shape=(), dtype=float64)"
2793,"tf.Tensor(6.922729284335492, shape=(), dtype=float64)"
2794,"tf.Tensor(7.673193253894617, shape=(), dtype=float64)"
2795,"tf.Tensor(6.612819659585647, shape=(), dtype=float64)"
2796,"tf.Tensor(7.475939921316593, shape=(), dtype=float64)"
2797,"tf.Tensor(6.529249278250575, shape=(), dtype=float64)"
2798,"tf.Tensor(6.940739872527696, shape=(), dtype=float64)"
2799,"tf.Tensor(8.288539880529456, shape=(), dtype=float64)"
2800,"tf.Tensor(6.259449127095788, shape=(), dtype=float64)"
2801,"tf.Tensor(7.076257404419198, shape=(), dtype=float64)"
2802,"tf.Tensor(7.856839309014263, shape=(), dtype=float64)"
2803,"tf.Tensor(8.959574042993411, shape=(), dtype=float64)"
2804,"tf.Tensor(8.270371929166567, shape=(), dtype=float64)"
2805,"tf.Tensor(7.1616896791044855, shape=(), dtype=float64)"
2806,"tf.Tensor(6.85127955136318, shape=(), dtype=float64)"
2807,"tf.Tensor(5.84627529585368, shape=(), dtype=float64)"
2808,"tf.Tensor(7.195560621271108, shape=(), dtype=float64)"
2809,"tf.Tensor(7.5940164706695095, shape=(), dtype=float64)"
2810,"tf.Tensor(7.195666589589493, shape=(), dtype=float64)"
2811,"tf.Tensor(5.841991930624169, shape=(), dtype=float64)"
2812,"tf.Tensor(6.876068008317693, shape=(), dtype=float64)"
2813,"tf.Tensor(6.441104463976584, shape=(), dtype=float64)"
2814,"tf.Tensor(7.228357194723199, shape=(), dtype=float64)"
2815,"tf.Tensor(8.237021753482784, shape=(), dtype=float64)"
2816,"tf.Tensor(5.768568248946016, shape=(), dtype=float64)"
2817,"tf.Tensor(7.31983559403469, shape=(), dtype=float64)"
2818,"tf.Tensor(6.791689513152058, shape=(), dtype=float64)"
2819,"tf.Tensor(6.05045716637256, shape=(), dtype=float64)"
2820,"tf.Tensor(5.990157562816225, shape=(), dtype=float64)"
2821,"tf.Tensor(7.447133496519989, shape=(), dtype=float64)"
2822,"tf.Tensor(7.562179085751948, shape=(), dtype=float64)"
2823,"tf.Tensor(7.935158336615186, shape=(), dtype=float64)"
2824,"tf.Tensor(6.6650408374136, shape=(), dtype=float64)"
2825,"tf.Tensor(7.41153180706572, shape=(), dtype=float64)"
2826,"tf.Tensor(9.177212519098399, shape=(), dtype=float64)"
2827,"tf.Tensor(7.131756648532839, shape=(), dtype=float64)"
2828,"tf.Tensor(5.1733927090106455, shape=(), dtype=float64)"
2829,"tf.Tensor(5.7641226964691095, shape=(), dtype=float64)"
2830,"tf.Tensor(6.932614189046973, shape=(), dtype=float64)"
2831,"tf.Tensor(8.37458192173048, shape=(), dtype=float64)"
2832,"tf.Tensor(5.2068220117017345, shape=(), dtype=float64)"
2833,"tf.Tensor(8.0106851737691, shape=(), dtype=float64)"
2834,"tf.Tensor(6.110387548349856, shape=(), dtype=float64)"
2835,"tf.Tensor(8.0106851737691, shape=(), dtype=float64)"
2836,"tf.Tensor(10.134393307524077, shape=(), dtype=float64)"
2837,"tf.Tensor(6.391449205018542, shape=(), dtype=float64)"
2838,"tf.Tensor(6.824917889965627, shape=(), dtype=float64)"
2839,"tf.Tensor(5.911248721881069, shape=(), dtype=float64)"
2840,"tf.Tensor(7.62866054381075, shape=(), dtype=float64)"
2841,"tf.Tensor(6.490888701745336, shape=(), dtype=float64)"
2842,"tf.Tensor(7.237322344894947, shape=(), dtype=float64)"
2843,"tf.Tensor(5.51926287039637, shape=(), dtype=float64)"
2844,"tf.Tensor(5.909092247461464, shape=(), dtype=float64)"
2845,"tf.Tensor(6.449670551663836, shape=(), dtype=float64)"
2846,"tf.Tensor(8.186795739601795, shape=(), dtype=float64)"
2847,"tf.Tensor(6.755370015421264, shape=(), dtype=float64)"
2848,"tf.Tensor(5.8476651289160255, shape=(), dtype=float64)"
2849,"tf.Tensor(6.437567086790832, shape=(), dtype=float64)"
