,entropy
432,7.013941130952837
433,6.443829960578097
434,5.150529003852361
435,5.553801416193549
436,
437,2.6879341608830263
438,6.935220477490879
439,6.2633028566687186
440,4.994490465479481
441,6.166950268618101
442,6.4868314716756155
443,0.3826208560182447
444,4.8629310229835525
445,7.068429902693846
446,3.0479828790720047
447,6.895693064978955
448,4.66493191135357
449,4.415065804387246
450,6.1246354401624
451,6.486251815308714
452,3.5774981241536867
453,5.14785788164491
454,6.488299844838443
455,6.469019335768693
456,6.945804793514454
457,6.537417240198088
458,6.384615366272244
459,4.879270504220266
460,6.829485659463262
461,5.587642338179344
462,4.959568233913656
463,7.622620453821615
464,4.667671544599051
465,7.685200352736364
466,6.11160906204152
467,3.2265805061378456
468,3.4310296683873966
469,5.238964896386273
470,6.027517625465514
471,7.188819126624608
472,5.792173986014496
473,6.419543369103538
474,6.888059978310787
475,4.407586950947418
476,6.324731124394462
477,3.883815891453234
478,6.372869230134184
479,5.519211147257393
480,6.087056323850352
481,6.277647483926359
482,6.621380461676954
483,6.1234690011377255
484,6.9032650916431075
485,6.193476075463893
486,6.484134261479598
487,5.9732113290937905
488,6.437005940880052
489,4.824501062476339
490,6.307840224665125
491,7.729659438109892
492,5.499780730938737
493,7.465576279120042
494,3.883638227292671
495,6.894476184225072
496,6.426414122613026
497,6.861452416859382
498,3.9680042553270014
499,4.320381649953482
500,7.09781988619572
501,4.5402921823603
502,0.3826208560182447
503,6.467740092455495
504,6.753167078296298
505,6.552774238639093
506,4.695294480203714
507,3.9111351107942816
508,4.4608755121428585
509,6.759429056131813
510,6.7606800850620115
511,6.5274857132901625
512,5.801696076035218
513,7.762164048107209
514,6.209353759560573
515,3.608531886841147
516,6.4219099934681765
517,7.180579411678012
518,4.696739751380489
519,6.997791655967229
520,6.619035324402213
521,6.411888935941517
522,6.2954572705386225
523,4.942300762610668
524,6.7110067687207
525,4.5753442681864795
526,6.643366664806125
527,7.2417161448912895
528,6.208615976558748
529,5.16396467576159
530,4.618122845713866
531,6.5578729136625915
532,3.2302931888005704
533,7.101276444595714
534,7.158721114792149
535,6.072643430116076
536,2.620404842860986
537,4.370222986786953
538,7.341634238820123
539,1.7914303258729556
540,3.700783497939386
541,6.955636813004295
542,5.188241070753552
543,5.960874033845047
544,6.988075504329662
545,5.594979217184841
546,7.081571571980026
547,6.408073879227273
548,6.083392658693434
549,5.67878879304174
550,3.44659330026868
551,
552,5.182370276456997
553,6.0274376896326185
554,5.343165436243839
555,3.8567425161447373
556,0.3826208560182447
557,6.722268022900962
558,3.5152518853757053
559,6.275023750411066
560,5.6934631569437055
561,6.572898691599652
562,6.800582954619344
563,6.90202149122822
564,6.191065223512601
565,4.858864863813399
566,5.814488323395235
567,1.8766109599620135
568,3.2265805061378456
569,7.629655503607002
570,7.2033116770064005
571,5.56884736726483
572,6.888059978310787
573,4.506264255164576
574,6.085210322959555
575,5.391748398460506
576,7.1445885722389315
577,5.210529925108641
578,5.677042415381141
579,5.426256011308187
580,3.9637502668080327
581,6.2831065995890105
582,4.743476694301575
583,7.180093721323118
584,6.343633315862203
585,6.395208126387788
586,3.4161068406215094
587,5.635254034204376
588,7.246351702675061
589,6.616223170660314
590,7.197669223338298
591,5.657653574242876
592,3.9030012744355953
593,5.695688739140915
594,6.662336683954936
595,3.8573300886468727
596,4.07421207974279
597,5.5490169202948305
598,6.00225014957017
599,6.979369884376177
600,5.831852440033825
601,5.991431140252624
602,5.103483946198598
603,7.172701116071935
604,7.396779080893478
605,6.957179146922167
606,6.175855561183499
607,5.073233395164259
608,4.438965495830304
609,7.213653408050483
610,6.1399905032538715
611,6.076770209280533
612,4.40518918646458
613,6.864447399415343
614,5.3227911964262375
615,7.362370603265614
616,3.6632995504897914
617,7.259963582123793
618,4.420027724471776
619,5.825955819995216
620,5.420622729910287
621,6.579368288555856
622,4.148770013473175
623,6.911076091827679
624,5.725225722834579
625,6.938767260489223
626,6.495970007937668
627,7.362370603265614
628,5.490000854836711
629,6.496270580227013
630,5.237435022509888
631,2.620404842860986
632,3.5489743867191748
633,6.029753590135811
634,5.892126621651084
635,7.6974809507713235
636,6.7393994611856165
637,3.943038364072546
638,7.150661763921156
639,6.032943000137699
640,6.939400163303083
641,7.2241222779289815
642,6.978085885781169
643,6.724584443685873
644,6.38407746125043
645,6.709386911114248
646,6.166010882538535
647,6.82022387298659
648,6.329251034395013
649,6.917469790558362
650,4.787222261784381
651,5.842842468970966
652,5.4897734174946615
653,7.181531553513803
654,5.706830825935258
655,6.672626163690849
656,4.623034407866487
657,4.531277164309798
658,6.4134379057251225
659,6.196573149491756
660,7.231128889982963
661,5.075859964737233
662,6.020841089381647
663,5.733024426400686
664,6.160909864802041
665,5.578712014855995
666,6.071432646868381
667,5.544029821478069
668,5.914302627020623
669,5.999549170630204
670,5.626386808044691
671,3.681256975180382
672,6.871990725135076
673,3.7814475428543233
674,6.127893010525075
675,6.967051172698166
676,6.148307799390555
677,7.627977437519739
678,6.4221286345563895
679,5.986514255451755
680,5.917604275738059
681,6.3065818818113195
682,0.3826208560182447
683,4.922298801969789
684,4.258379556252848
685,5.184383859706088
686,5.287502331691072
687,6.104386622703373
688,3.417658058234899
689,6.782415082762822
690,6.988732341402272
691,6.8017736810300615
692,7.53749513914916
693,3.0185312739091223
694,5.333837397232765
695,4.746780311275533
696,7.078494782199673
697,6.205577620978832
698,5.324493732922916
699,6.591457268850899
700,5.565169814169224
701,4.862634807281983
702,0.3826208560182447
703,4.887885876817998
704,6.746699566753457
705,7.5429058405746225
706,6.875431231168004
707,6.717265410135233
708,7.340919100537475
709,5.740839364940773
710,0.3826208560182447
711,0.3826208560182447
712,7.575339139156923
713,5.283072768663474
714,6.5633132867597155
715,6.978908781523258
716,5.693718430008491
717,7.308509450149163
718,4.797640442702469
719,
720,6.374970381340764
721,5.988754032009296
722,6.427338633063594
723,5.805379743516497
724,3.5286083049672863
725,6.061142559289058
726,6.063519940550629
727,6.06784874924793
