,variation
470,"tf.Tensor(13.739658, shape=(), dtype=float32)"
471,"tf.Tensor(16.420012, shape=(), dtype=float32)"
472,"tf.Tensor(15.765499, shape=(), dtype=float32)"
473,"tf.Tensor(15.800245, shape=(), dtype=float32)"
474,"tf.Tensor(15.150157, shape=(), dtype=float32)"
475,"tf.Tensor(14.54105, shape=(), dtype=float32)"
476,"tf.Tensor(17.062658, shape=(), dtype=float32)"
477,
478,"tf.Tensor(15.3307295, shape=(), dtype=float32)"
479,"tf.Tensor(17.532389, shape=(), dtype=float32)"
480,"tf.Tensor(15.895876, shape=(), dtype=float32)"
481,"tf.Tensor(15.493219, shape=(), dtype=float32)"
482,"tf.Tensor(17.088, shape=(), dtype=float32)"
483,"tf.Tensor(17.8074, shape=(), dtype=float32)"
484,"tf.Tensor(18.438313, shape=(), dtype=float32)"
485,"tf.Tensor(15.62426, shape=(), dtype=float32)"
486,"tf.Tensor(15.355549, shape=(), dtype=float32)"
487,"tf.Tensor(14.961589, shape=(), dtype=float32)"
488,"tf.Tensor(15.992024, shape=(), dtype=float32)"
489,"tf.Tensor(15.221566, shape=(), dtype=float32)"
490,"tf.Tensor(15.94101, shape=(), dtype=float32)"
491,"tf.Tensor(15.255082, shape=(), dtype=float32)"
492,"tf.Tensor(16.285145, shape=(), dtype=float32)"
493,"tf.Tensor(16.832016, shape=(), dtype=float32)"
494,"tf.Tensor(17.097565, shape=(), dtype=float32)"
495,"tf.Tensor(15.716591, shape=(), dtype=float32)"
496,"tf.Tensor(15.995054, shape=(), dtype=float32)"
497,"tf.Tensor(16.998491, shape=(), dtype=float32)"
498,"tf.Tensor(15.016758, shape=(), dtype=float32)"
499,"tf.Tensor(16.657759, shape=(), dtype=float32)"
