,framerates
293,21.9672131147541
294,10.0
295,15.057915057915057
296,14.285714285714285
297,6.666666666666667
298,25.0
299,8.333333333333334
300,10.0
301,10.19108280254777
302,14.285714285714285
303,10.0
304,25.0
305,25.0
306,20.0
307,12.5
308,10.0
309,20.0
310,
311,33.333333333333336
312,14.285714285714285
313,7.674418604651163
314,21.166032953105198
315,10.0
316,30.06993006993007
317,16.00985221674877
318,10.0
319,30.065359477124183
320,29.914529914529915
321,13.926701570680628
322,14.846416382252558
323,10.0
324,10.0
325,20.0
326,20.0
327,12.025316455696203
328,10.0
329,25.0
330,10.0
331,14.084507042253522
332,15.131578947368421
333,22.073578595317727
334,6.666666666666667
335,20.0
336,10.0
337,29.842931937172775
338,6.982543640897756
339,14.960629921259843
340,25.0
341,12.5
342,33.333333333333336
343,25.0
344,25.0
345,15.107913669064748
346,10.0
347,15.057915057915057
348,10.0
349,20.0
350,10.0
351,14.984709480122325
352,14.960629921259843
353,25.0
354,19.166666666666664
355,22.07792207792208
356,15.044247787610619
357,16.666666666666668
358,25.0
359,25.0
360,24.637681159420293
361,25.0
362,10.0
363,23.904382470119522
364,14.987080103359174
365,15.050167224080267
366,15.022091310751104
367,16.666666666666668
368,10.0
369,14.285714285714285
370,14.12639405204461
371,14.285714285714285
372,25.0
373,14.991482112436117
374,33.333333333333336
375,14.986737400530505
376,20.0
377,14.984709480122325
378,11.11111111111111
379,25.0
380,12.0
381,20.0
382,10.0
383,25.0
384,10.0
385,24.565217391304348
386,10.0
387,16.666666666666668
388,25.0
389,14.285714285714285
390,25.0
391,26.79738562091503
392,25.0
393,15.068493150684931
394,25.0
395,15.050167224080267
396,12.5
397,16.013071895424837
398,11.11111111111111
399,10.0
400,29.85781990521327
401,25.0
402,25.0
403,14.977973568281937
404,33.333333333333336
405,7.6923076923076925
406,25.0
407,14.285714285714285
408,25.0
409,25.0
410,25.0
411,10.0
412,15.068493150684931
413,20.0
414,10.0
415,16.666666666666668
416,25.0
417,25.0
418,
419,28.5
420,25.0
421,20.0
422,25.0
423,25.0
424,10.0
425,9.705882352941178
426,25.0
427,25.0
428,25.0
429,25.0
430,14.0625
431,20.0
432,10.0
433,10.0
434,25.0
435,5.995717344753747
436,12.5
437,6.666666666666667
438,25.0
439,14.975845410628018
440,10.0
441,24.299065420560748
442,10.0
443,10.0
444,8.333333333333334
445,25.0
446,14.285714285714285
447,12.5
448,14.957264957264957
449,10.0
450,33.333333333333336
451,24.0
452,25.0
453,10.0
454,11.11111111111111
455,33.333333333333336
456,22.105263157894736
457,25.0
458,10.0
459,14.005602240896359
460,8.333333333333334
461,15.022091310751104
462,10.0
463,25.0
464,14.285714285714285
465,15.015015015015015
466,10.0
467,10.0
468,14.992721979621543
469,20.0
470,10.0
471,20.0
472,25.0
473,12.5
474,15.032679738562091
475,16.666666666666668
476,22.947368421052634
477,5.0
478,10.0
479,12.5
480,15.0087260034904
481,10.0
482,14.968152866242038
483,11.11111111111111
484,25.0
485,14.285714285714285
486,10.0
487,14.976958525345621
488,14.992025518341308
489,
490,10.0
491,20.0
492,
493,5.964912280701754
494,5.555555555555555
495,10.0
496,25.0
497,10.0
498,14.285714285714285
499,14.979757085020243
500,10.0
501,14.968152866242038
502,17.96875
503,25.0
504,14.987714987714988
505,14.285714285714285
506,12.5
507,23.979591836734695
508,14.097744360902254
509,24.000787556605633
510,20.0
511,22.524271844660195
512,21.95121951219512
513,9.09090909090909
514,
515,12.5
516,25.0
517,14.965986394557822
518,10.0
519,16.666666666666668
520,20.0
521,10.0
522,15.217391304347826
