,number_of_pixels
1220,0.9
1221,1.4112
1222,0.6784
1223,1.2384
1224,1.0875
1225,1.296
1226,2.81
1227,1.6
1228,1.14432
1229,1.1585
1230,0.91186
1231,2.952
1232,0.3
1233,2.20116
1234,0.60025
1235,0.3888
1236,0.87
1237,20.6592
1238,2.016
1239,0.23111
1240,0.3675
1241,1.0
1242,1.296
1243,1.08
1244,1.296
1245,1.728
1246,1.296
1247,0.693
1248,0.69084
1249,0.974
1250,1.2
1251,1.296
1252,0.308
1253,0.64
1254,3.072
1255,1.88
1256,0.768
1257,4.563
1258,1.344
1259,1.248
1260,1.8432
1261,1.296
1262,2.58996
1263,1.28
1264,1.296
1265,1.296
1266,1.6752
1267,1.296
1268,0.768
1269,1.2864
1270,1.36
1271,0.625
1272,2.304
1273,1.405
1274,0.67914
1275,1.296
1276,0.60025
1277,0.6848
1278,0.458
1279,2.028
1280,0.768
1281,1.1904
1282,0.51012
1283,2.304
1284,0.7272
1285,3.464
1286,1.11946
1287,0.3936
1288,0.71316
1289,1.296
1290,0.375
1291,1.095
1292,1.29
1293,0.60025
1294,2.204
1295,2.5
1296,0.708
1297,1.0707
1298,1.1046
1299,0.4075
1300,1.248
1301,1.728
1302,2.304
1303,1.12896
1304,6.075
1305,0.9152
1306,10.0352
1307,0.79794
1308,2.304
1309,0.768
1310,1.296
1311,1.0464
1312,1.248
1313,2.7
1314,0.6384
1315,1.076
1316,5.29984
1317,1.1808
1318,1.74556
1319,2.448
1320,0.5635
1321,2.916
1322,0.44517
1323,1.728
1324,1.0875
1325,0.9
1326,0.256
1327,2.304
1328,1.36
1329,2.304
1330,0.507
1331,1.296
1332,3.072
1333,0.67308
1334,0.99677
1335,0.9984
1336,2.9484
1337,2.2976
1338,1.2768
1339,1.40625
1340,5.55
1341,2.3296
1342,1.3916
1343,1.089
1344,1.36
1345,1.296
1346,2.028
1347,1.248
1348,2.304
1349,0.484
1350,0.576
1351,0.8085
1352,1.296
1353,1.065
1354,1.405
1355,2.1632
1356,0.5472
1357,0.9595
1358,1.296
1359,0.51728
1360,0.51456
1361,1.2576
1362,0.6446
1363,0.576
1364,0.576
1365,0.576
1366,0.66992
1367,0.396
1368,1.32
1369,1.22815
1370,1.296
1371,3.5802
1372,1.405
1373,3.456
1374,0.5655
1375,1.2528
1376,0.7272
1377,1.296
1378,1.152
1379,1.1856
1380,2.2976
1381,0.9
1382,0.4325
1383,0.4736
1384,0.768
1385,0.6848
1386,1.6375
1387,0.7308
1388,1.4
1389,0.82565
1390,1.098
1391,1.25664
1392,1.8048
1393,1.42
1394,1.47456
1395,3.8592
1396,0.82944
1397,1.368
1398,0.51072
1399,1.205
1400,1.728
1401,9.216
1402,1.79
1403,1.065
1404,0.688
1405,1.44
1406,1.145
1407,0.49
1408,1.3104
1409,0.73788
1410,3.456
1411,1.296
1412,1.375
1413,1.47456
1414,1.134
1415,0.96
1416,2.50328
1417,
1418,1.2768
1419,1.7424
1420,3.888
1421,2.2416
1422,2.67904
1423,1.4
1424,2.304
1425,1.77225
1426,1.05
1427,0.3776
1428,1.296
1429,1.405
1430,0.9408
1431,0.9
1432,0.9252
1433,0.576
1434,1.405
1435,1.7664
1436,1.1385
1437,2.175
1438,1.296
1439,1.7472
1440,1.075
1441,0.64807
1442,1.56031
1443,3.168
1444,0.3102
1445,0.495
1446,0.729
1447,1.6
1448,1.5216
1449,3.9456
1450,1.68
1451,0.59888
1452,0.343
1453,0.9
1454,2.022
1455,1.152
1456,1.27
1457,0.75802
1458,1.296
1459,1.296
1460,0.90738
1461,0.2816
1462,2.304
1463,1.3944
1464,2.028
1465,0.5635
1466,1.536
1467,1.405
1468,0.768
1469,1.3872
1470,1.296
1471,1.5168
1472,1.54644
1473,1.03
1474,0.768
1475,1.04
1476,0.67308
1477,0.675
1478,0.87074
1479,0.4242
1480,2.2336
1481,1.5456
1482,1.0848
1483,2.97024
1484,0.56225
1485,3.6
1486,2.916
1487,1.536
1488,0.914
1489,1.728
1490,0.90738
1491,1.728
1492,0.4576
1493,1.296
1494,1.6362
1495,3.97488
1496,2.78784
1497,2.7328
1498,0.3185
1499,1.33952
1500,0.693
1501,1.2432
1502,2.12576
1503,0.44835
1504,1.296
1505,0.96
1506,0.44896
1507,0.266
1508,0.3318
1509,1.127
1510,1.296
1511,0.8155
1512,0.896
1513,1.92
1514,0.72159
1515,1.0
1516,1.0464
1517,2.48004
1518,2.7
1519,2.4512
1520,0.225
1521,9.216
1522,0.9408
1523,1.38
1524,3.97488
1525,1.296
1526,3.7248
1527,0.2552
1528,0.2508
1529,1.05078
1530,1.24002
1531,1.2
1532,1.38444
1533,1.388
1534,1.18
1535,2.028
1536,0.48
1537,1.512
1538,1.12896
1539,0.97137
1540,0.44655
1541,2.48004
1542,1.2
1543,1.4112
1544,1.5847
1545,2.72
1546,1.38444
1547,0.40425
1548,1.3014
1549,0.72644
1550,1.6896
1551,1.064
1552,0.96
1553,0.96832
1554,0.40425
1555,0.65392
1556,0.52864
1557,0.44655
1558,0.4368
1559,1.4496
1560,1.296
1561,1.296
1562,1.248
1563,1.2
1564,2.41408
1565,0.51728
1566,0.66542
1567,1.1352
1568,0.864
1569,2.94
1570,2.028
1571,0.6804
1572,1.1856
1573,1.296
1574,0.3525
1575,0.96992
1576,2.1638
1577,1.7376
1578,0.76384
1579,1.296
1580,1.1
1581,1.2528
1582,1.2
1583,0.82419
1584,0.43771
1585,1.296
1586,1.1568
1587,1.385
1588,0.96
1589,2.32704
1590,1.2432
1591,0.89976
1592,0.13041
1593,0.904
1594,1.728
1595,0.8304
1596,2.74137
1597,0.57702
1598,1.03293
1599,1.475
1600,0.912
1601,0.672
1602,1.8204
1603,3.1672
1604,0.3185
1605,2.97024
1606,4.9
1607,0.8294
1608,1.728
1609,0.81793
1610,1.85256
1611,2.025
1612,1.92
1613,0.639
1614,0.363
1615,0.88308
1616,1.296
1617,0.8307
1618,2.06976
1619,1.015
1620,1.296
1621,0.4824
1622,0.9248
1623,1.296
1624,3.0788
1625,1.8432
1626,0.904
1627,1.36
1628,1.9
1629,0.56066
1630,1.6512
