,max_entropy
115,7.040983058429597
116,7.214654298813745
117,7.718564568865542
118,7.188869952882134
119,6.003879838360033
120,6.384768117888828
121,7.424978301623239
122,7.387806936831496
123,7.551529480633725
124,5.446879302521872
125,6.959952742594173
126,5.786645868880587
127,7.036942377497532
128,6.822581140288955
129,7.255944221817416
130,5.997642193086553
131,6.78593751703573
132,4.968100379094242
133,4.69205145585073
134,6.702100989560779
135,6.549805264472006
136,7.561913252216931
137,7.311170487835262
138,6.7737300916274945
139,7.375567819719417
140,6.074386718419894
141,6.155677083250873
142,5.735639926833359
143,7.454604196021636
144,2.9474188953164844
145,6.599210226404667
146,6.79143727016076
147,7.279307975792117
148,6.594905425201784
149,7.279307975792117
150,6.950763369866865
151,6.983521684319987
152,3.330195749155157
153,7.208493328013618
154,7.608246539703885
155,6.164127402014674
156,6.583918157011324
157,7.581493449463029
158,4.254953928795628
159,7.144974949590198
160,7.761998363130699
161,5.575258946653053
162,7.6746080144622235
163,7.917420953616694
164,5.119710468950862
165,7.763003091837354
166,6.462016051094295
167,7.643473481090272
168,7.0379037009164644
169,6.171358427014392
170,6.920714935042005
171,7.104596474326798
172,6.969797958849679
173,7.743309716056635
174,6.939228351645572
175,6.082381484754999
176,5.476496458857693
177,6.3004664032336075
178,7.730200698028079
179,7.4883971430959
180,6.558934363386518
181,5.191467634573068
182,7.179533033628399
183,6.320942499176496
184,7.545877520906894
185,5.276118584181363
186,7.209056118492615
187,6.108710446541097
188,6.467114540569929
189,7.704478938350275
190,7.647398717192914
191,5.8173115103094135
192,7.191841680720155
193,6.172137866253669
194,6.388128773582777
195,6.921118927700117
196,7.431494977778543
197,5.856643354766125
198,6.934590437147635
199,7.458827818780871
200,7.095816928531119
201,7.481428962851189
202,7.194667906963503
203,6.633365335800819
204,3.0205486575406257
205,7.283180023540807
206,5.336317358485508
207,7.006241350683
208,6.697565302551173
209,6.903376367505412
210,6.028757036546139
211,5.207017188942313
212,3.742290929129938
213,6.595585884280248
214,4.777768893434279
215,7.577585919118679
216,7.009152635265378
217,7.135687818468446
218,3.703146311584052
219,6.190700812243475
220,7.372406452313409
221,5.411150380679493
222,6.524385544256444
223,5.599361100006176
224,6.54822542465291
225,6.84379530036588
226,6.704024854992839
227,6.588056809888766
228,6.51568349033742
