,sum_entropy
186,1038.1871891658202
187,488.0053165262246
188,386.76584059288183
189,505.03326054772594
190,510.5581091018509
191,336.118561515713
192,726.9843726062401
193,1290.4994541472527
194,120.23420432499687
195,409.53538797889024
196,168.35183444642732
197,220.95055628901892
198,82.43937252174737
199,1023.4654520898368
200,207.98813278925832
201,754.1937813147456
202,293.44546131039857
203,163.6468656265959
204,136.2094319397459
205,273.35860772044106
206,175.83426859560672
207,499.6437181706484
208,72.96684033037072
209,231.9671653299673
210,1051.8024398069235
211,222.28631347766594
212,116.15864645341583
213,1291.5516083367065
214,145.36323161756204
215,184.1281248450769
216,213.98404782608776
217,283.2630485503399
218,144.82810596496788
219,651.8590077979765
220,132.30503156346361
221,914.1079282507676
222,638.3360305200429
223,50.35580170372688
224,195.16153121808537
225,122.70379042163313
226,453.55457982649233
227,498.3180136016497
228,577.3614122548424
229,109.14959351831381
230,125.16410684196754
231,413.6239073542774
232,200.1295395694462
233,1011.690345194687
234,652.1829163479171
235,88.5255583350671
236,386.29102596805296
237,643.3275240267764
238,284.01384413912314
239,859.6302395791329
240,492.88140085434605
241,399.719848301021
242,1499.525069862238
243,382.50541845975505
244,450.8289526504939
245,496.2881779815451
246,311.25897258271885
247,157.41933606889413
248,755.5109194901047
249,219.82453475431606
250,770.7983903697591
251,9.069045158788839
252,160.70362895374444
253,725.0971241869071
254,315.1588547213548
255,374.93049486368216
256,1009.5746601118611
257,466.1576748033834
258,296.2457947953057
259,638.3815171123726
260,298.5748848688167
261,248.16631469373758
262,264.1686710855042
263,4780.182865404179
264,1183.7176758826663
265,388.56274392337446
266,682.0862490380348
267,220.131865990802
268,324.98717480737076
269,266.1734957992457
270,243.30701012916333
271,121.01246467453707
272,338.9906965306125
273,269.7692514723244
274,244.70372369863847
275,151.19152047784968
276,301.1756334802449
277,205.64500079022662
278,469.4514783957214
279,166.8267174919877
280,205.81333521000897
281,194.15318218886145
282,456.8450650219352
283,353.9424480800775
284,392.74585486140325
285,1188.4975331131182
