,avg_entropy
156,6.555530909675557
157,7.436838291575712
158,3.9277520476048857
159,7.048436066315918
160,7.478171006469827
161,5.498592530403548
162,7.4725417306656015
163,7.877664265368265
164,4.4425112788871495
165,7.748274408616071
166,6.423414402809575
167,7.570930466723522
168,7.0072222385040455
169,6.1158984893173445
170,6.888059978310787
171,6.796035888016735
172,6.6879914367126
173,7.661019702782239
174,6.552766648045804
175,5.961565673871184
176,5.010322004236904
177,6.014938462705211
178,7.711597708642527
179,7.333873271229036
180,6.311790681804955
181,5.112796844712865
182,7.096905829049727
183,6.214233024106913
184,7.466305608558642
185,5.241695116226192
186,7.110871158670001
187,6.1000664565778075
188,6.340423616276751
189,7.652019099207969
190,7.620270285102253
191,5.696924771452763
192,7.058100704914952
193,5.892691571448642
194,6.328116017105098
195,6.825589799648171
196,7.319644975931623
197,5.814488323395235
198,6.869947710145614
199,7.363060806401704
200,6.932937759641944
201,7.394056679556329
202,6.986796697866633
203,6.294110216407535
204,2.095529722149937
205,7.009195069754899
206,5.32831116956384
207,6.8444344954883345
208,6.633349120942793
209,6.627633295141923
210,5.779134284653426
211,5.051961669946953
212,3.318818470097595
213,6.556099534704094
214,4.689136503792324
215,7.365124993803076
216,6.902711220196379
217,7.081576213758497
218,3.6207026491241967
219,5.768663785822801
220,7.350279531303534
221,5.408922652371406
222,6.447838692121645
223,5.595089078191876
224,6.505384373936179
225,6.816877245646285
226,6.669920291566064
227,6.556815968442759
228,6.415126802831582
229,6.821849594894613
230,6.58758457062987
231,4.2206521158599735
232,7.412205169238748
233,5.715764662116875
234,6.587706225736536
235,5.207385784415712
236,5.852894332849288
237,5.361062700223136
238,6.762234384264836
239,5.655462102494295
240,7.467900012944638
241,5.124613439756679
242,6.942245693806658
243,7.650108369195101
244,6.629837538977851
245,5.013011898803486
246,7.591682258115094
247,5.428252967892901
248,7.060849714860791
249,6.465427492774002
250,7.007258094270537
251,9.069045158788839
252,5.739415319776588
253,7.25097124186907
254,6.303177094427096
255,6.4643188769600375
256,7.8261601559059
257,6.474412150046991
258,4.937429913255095
259,7.691343579667141
260,7.655766278687608
261,6.363238838300964
262,3.5698469065608673
263,6.390618804016283
264,5.918588379413332
265,7.472360460064893
266,7.1798552530319455
267,6.289481885451486
268,7.557841274590018
269,6.190081297656877
270,6.082675253229083
271,3.184538544066765
272,5.38080470683512
273,5.5054949280066205
274,6.991534962818242
275,6.29964668657707
276,6.146441499596835
277,7.3444643139366645
278,5.3959940045485215
279,4.39017677610494
280,7.35047625750032
281,5.393143949690596
282,7.489263361015332
283,7.07884896160155
284,6.77148025623109
285,7.522136285526064
286,0.925152907987823
287,6.026660764418279
288,7.28937654777797
289,6.888059978310787
290,7.131562539231038
291,6.800723571979118
292,3.424983536949593
293,5.448238860945475
294,7.075702738415857
295,3.95664180988755
296,2.7663586467429098
297,4.507549112410906
298,6.316440335818081
299,4.726798310195204
300,6.751439453550864
301,5.921247263468785
302,6.234405278407168
303,6.896561612132925
304,7.210384040895384
305,7.413912563187821
306,5.81890562938646
307,7.100146682817274
308,5.068836423489297
309,5.597468436161873
310,5.579006842671115
311,2.574357839237803
312,7.479533724204238
313,6.686697873237654
