,min_entropy
307,7.070453915054932
308,4.858178423489796
309,5.298505723785194
310,5.129053076645577
311,2.3310432613084378
312,7.357973900281572
313,6.08619766689205
314,7.528935508717745
315,6.206510506868241
316,2.4764914768665958
317,5.800173672698487
318,4.621566822858241
319,6.160723385667093
320,5.294829020893157
321,5.37343388870842
322,1.7137173589473529
323,6.3616286731611575
324,6.580107189161346
325,5.773727695916216
326,6.065610345249324
327,6.182424418334555
328,2.332464355637195
329,7.402368984791873
330,6.433891889692708
331,2.747718779147811
332,4.535835604395043
333,6.018879103973421
334,7.490994590252117
335,6.4789365400368935
336,2.809718565136671
337,7.72035059896117
338,7.397760503808375
339,6.550278571916418
340,4.809706932709024
341,6.530344247434542
342,6.353453319074791
343,7.156994481752272
344,6.185403832380117
345,7.631926324967318
346,-0.0
347,7.371268056790368
348,6.411803563952094
349,6.370807646387945
350,7.4504243806360595
351,6.0439133166964
352,7.274940989141389
353,3.7777078118436402
354,7.137500128781869
355,5.438200557714943
356,6.878763378663211
357,4.8231012871411005
358,6.407025459695345
359,6.389039097395983
360,6.386219355589221
361,6.503510995091901
362,4.216963336827381
363,4.0507647343608975
364,7.433300126053916
365,4.392913849854759
366,7.1604069991375265
367,3.1458247197365345
368,6.87426270036675
369,5.906272015892394
370,5.184842606181059
371,5.444866347324682
372,5.930888168670253
373,6.000904366877137
374,4.310375064468954
375,3.9181885406191084
376,7.494805547684562
377,6.293418137665477
378,6.199719762441961
379,6.617448711693015
380,5.967091211240723
381,4.1471407372853495
382,7.025321049281118
383,0.8281307651184655
384,5.2930463872715565
385,4.091263281059177
386,3.4370392308854365
387,5.634125937182415
388,7.259482844651152
389,5.488519356010878
390,7.097535355002079
391,0.1084191196463389
392,5.867508176810773
393,7.396239150383963
394,5.78433308225828
395,6.567714501358786
396,5.561601826799443
397,6.402993805742958
398,6.0174827588875415
399,7.2043533487235445
400,7.367645668287224
401,7.20242330508988
402,6.7269583539397075
403,6.670190408355242
404,0.0016355361210106144
405,5.412093189891315
406,6.5185372729023445
407,6.894908192760462
408,7.246333841678755
409,3.96364807859041
410,7.274241619470286
411,5.815000119366921
412,7.349067157837563
413,4.966302115580667
414,6.292380369748169
415,6.048396509021993
416,7.299388528301809
417,7.210415815535516
418,5.831245617736355
419,4.103817464862126
420,7.210415815535516
421,4.986209827423934
422,7.1442159911982825
423,6.5256451731886
424,4.220125996120814
425,6.716294879368565
426,7.210415815535516
427,4.408082792409197
428,6.688228832860554
429,6.781807930982294
430,6.662411869420194
431,6.715631980221201
432,6.755500493307749
433,7.315313719551618
434,6.561114365544828
435,7.339019278519247
436,6.72127328207371
437,7.01132271791874
438,6.736147118345096
439,7.014197209978439
440,5.573757158743654
441,4.402255959133151
442,5.210864619156995
443,4.575074222016471
444,6.188393896711078
445,6.929543148557265
446,6.763222399740884
447,7.366365471163858
448,7.21430274865635
449,3.309944126573023
450,6.910022818984233
451,6.113027375351636
452,3.7731267626069465
453,6.5462406444954135
454,5.226893919560295
455,5.532868996772032
456,7.363555661887675
457,6.997209864092428
458,6.313770781820669
459,6.119821632327124
460,6.326243452211564
461,5.543719533455688
462,3.9462103524210486
463,6.248833658618659
464,6.7402991171277264
465,6.701741314157696
466,7.672498902836297
467,7.161029583092671
468,5.609452680018571
469,6.095751816850546
470,0.08620248531892695
471,6.090434276455963
472,6.5096157971447495
473,6.806221380806924
474,7.4240866588972505
475,5.420925567199497
476,4.732303726376087
477,5.914188999755742
478,5.876355004470663
479,6.708464547523181
480,4.449604602612817
481,5.912942781023509
482,5.557525052388116
483,5.528229935269863
484,6.55442018156114
485,6.9781688886224345
486,7.041989967418916
487,7.401347155579544
488,6.818594531373544
489,2.5614971060022627
490,4.194455172124536
491,6.830680552661419
492,5.655376115779047
493,5.106811995118141
494,7.290244220515665
495,5.28526530953434
496,6.4126281255457664
497,3.2199650229475827
498,7.217452312279665
499,6.90264274861548
500,5.011251351615316
501,7.108686514602832
502,5.915658706325019
503,6.810539712582214
504,6.0656987570909315
505,7.153514280361253
506,3.694284477395354
507,6.852419190919839
508,4.717641908018026
509,5.958285629598387
510,6.381757809765058
511,4.9985371828084935
512,7.143100970352442
513,3.8218675400573288
514,5.724629726766105
515,4.960352432896964
516,5.507927106077372
517,7.284191702530779
518,5.279044485464692
519,5.763960821021624
520,7.5417754956526
521,6.8414389619151015
522,0.3815279003214041
523,6.26949348097765
524,7.240667065656032
525,1.3614525424909625
526,5.643372270769605
527,5.413848488738506
528,7.131346946406375
529,6.597765526778679
530,5.518329343664087
531,4.944978054407152
532,6.951132655339295
533,5.863344915903528
534,3.4486317399258604
535,7.35968262840306
536,7.5977343378528355
537,5.406949390768485
538,4.170065726550779
539,6.478297994345596
540,7.14178458497206
541,7.659296043911305
542,6.077877152246273
543,7.690422109236427
544,7.165040636727571
545,7.544822661560293
546,6.145858922306507
547,6.268594585283243
548,-0.0
549,6.9878173497575515
550,3.917997223901217
551,6.090435560276171
552,7.708977295719117
553,6.508921692778413
554,6.587147814157694
555,5.282495211932985
556,6.41885578019023
557,7.3882644945789835
558,6.255241587768342
559,7.389953322328131
560,6.310079617034746
561,6.262645270625954
562,6.567425842682517
563,7.296436259613909
564,6.839108809577607
565,6.582528146714312
566,6.822846427510106
567,7.644942455168785
568,4.626982418558385
569,5.049741929918955
570,5.518619428318106
571,7.485585359162411
572,5.670776145698541
573,6.7464779643439785
574,5.568221766633448
575,3.7460868090540966
576,5.097661536082559
577,6.249219436935707
578,5.1390106597540495
579,6.5688796750006615
580,4.256530748009612
581,5.233628811203588
582,5.053302330401111
583,4.385972387277107
584,0.06952964699480782
585,6.623984487329451
586,6.235163158902263
587,5.483498549584797
588,7.0706748895291405
589,6.405663200292936
590,4.141853569311302
591,5.099841437663799
592,5.3499857478073345
593,-0.0
594,7.121740985450531
595,5.910989064240347
596,5.3429341231297975
597,5.490874569377628
598,7.236606339344648
599,7.589916668172482
600,5.90860263992875
601,4.833283953639822
602,7.485771928182451
603,7.5201316618485325
604,6.225905749154462
605,5.1221616137279735
606,6.7342468938731
607,4.883484652677407
608,5.866277134760177
609,6.290029749558252
610,1.61482904224487
611,6.42424678156412
612,6.735204161251212
613,6.204664191656611
614,5.996924161470993
615,7.643295729014842
616,6.996015705509586
617,7.050782708396123
618,3.5968767295642157
619,7.501011828493729
620,6.254633300931415
621,5.874763006728863
622,6.172304625651789
623,7.026870237678506
624,5.9310809936970035
625,6.976472868746885
626,7.067608108079325
627,5.343786715466426
628,6.47009051583753
629,7.154514819939851
630,7.001858180652762
631,3.301606509589776
632,7.583851488089568
633,7.544200945816027
634,5.630902805464027
635,4.596975963127384
636,5.998903619099966
637,5.731530783017264
638,6.856233736789711
639,5.488038477739547
640,5.438916273026017
641,5.252400822410471
642,5.583653851413515
643,6.207923028961027
644,5.282531183660305
645,6.829492952135507
646,6.288567537568919
647,7.619528645537867
648,7.61598289319712
649,7.612852547284479
650,6.664449909804238
651,7.514858754682134
652,6.802285401937453
653,7.104904972530518
654,5.220888776379045
655,6.169063881263765
656,6.752198291359718
657,5.559944211550392
658,5.710064569109696
659,6.550985166670358
660,6.020188823545411
661,3.4268076907146128
662,5.98467867425266
663,5.867827067773092
664,4.706176892822663
665,0.05665121232811486
666,7.650506331963143
667,6.8329928573038
668,5.6104924777369645
669,5.436947748570764
670,6.096449778957887
