,min_sharpness
305,236.38380827079064
306,475.5883108035031
307,1556.3533888666116
308,124.34051221816505
309,332.69202161585446
310,775.6497847748713
311,534.919998672612
312,433.086707337888
313,486.80976389890856
314,233.92921769309066
315,212.65714392328977
316,193.1393638143493
317,310.25625937379436
318,1223.9370476908043
319,183.29734074074074
320,377.27764792509
321,164.05172244554686
322,97.76076527174695
323,703.9790137715961
324,198.25935964934342
325,493.1900664691358
326,318.9786035637749
327,187.28505111459242
328,1583.8530677609874
329,1525.0323841801717
330,1108.250221297665
331,313.12423266418887
332,468.23413941090905
333,102.56595865878793
334,630.8883728631223
335,718.9899985821642
336,193.98068386312292
337,213.36347415046222
338,673.1360307175395
339,1764.417166021035
340,65.5871498309398
341,351.5251636305276
342,3961.532328211917
343,244.4700061136412
344,778.2190542122222
345,388.2178907273449
346,0.0
347,2989.5094704091575
348,204.12360501431013
349,353.3260700270021
350,705.5217828396669
351,56.39383479937065
352,1120.6356006068522
353,945.5562642727834
354,761.1698762859487
355,131.32863212178592
356,2258.9150658046096
357,1717.4238778415765
358,316.8181099631084
359,1352.5785255068495
360,315.11450882202905
361,133.0630709733093
362,1250.4590486411616
363,3064.649894527136
364,536.5524561106618
365,20.00299622050516
366,240.06342329705208
367,311.8211179679341
368,1797.4779729338773
369,2378.8885017438074
370,274.73095446875385
371,226.18719617852526
372,3666.134954312414
373,95.08862565705495
374,2079.803185947565
375,99.80728295288085
376,897.5839903295656
377,1297.1850348835799
378,547.5481435313018
379,320.36219071719665
380,2339.5055314236115
381,243.28427245042323
382,917.9914399026525
383,672.8828850970245
384,746.0811275304366
385,407.75252149791254
386,1596.8496028936015
387,950.7705264029494
388,372.22347433069535
389,1470.194050068587
390,331.680195832306
391,130.3208734139945
392,469.83305827286756
393,1483.8566688963103
394,458.0167206456917
395,927.381763473556
396,2603.895813027516
397,3819.829204599572
398,610.121999569375
399,1836.4225150377044
400,1177.2174833559577
401,1345.3307951446134
402,651.4187386612812
403,1274.8543973782578
404,140.94868467717842
405,377.2484783407447
406,71.23339921604672
407,674.3224732324791
408,571.3876414744045
409,359.1513877585636
410,356.8284020839765
411,188.7348512338641
412,1206.528414413235
413,649.9155023112161
414,1537.841906871486
415,279.2009350736355
416,118.98883841014478
417,145.42126223349453
418,3343.2899801012895
419,182.891597913536
420,145.42126223349453
421,431.95404370911035
422,111.57090929748287
423,230.90602805247036
424,2502.1200088086844
425,273.74449911866367
426,145.42126223349453
427,3426.455925056041
428,259.26978169456953
429,455.7250110559509
430,327.64451601074296
431,625.1743125678682
432,3480.059796341783
433,251.7560460708215
434,342.50401934080895
435,454.34159815040005
436,265.07188435268665
437,919.6153265595118
438,215.59965210704155
439,400.945996817664
440,299.6683178823326
441,98.9419917426632
442,661.9885140681065
443,308.59416706974974
444,2327.881432102336
445,373.1616714225496
446,425.1463372295062
447,168.45401948993103
448,911.1050648501545
449,79.08809906427157
450,76.40571921102183
451,605.0486159321534
452,938.2953351566197
453,1698.5666886234471
454,2221.7162189286855
455,530.4573263097665
456,476.1072984954309
457,362.02855453386314
458,420.36437847101655
459,262.7552309183461
460,510.3254854974932
461,169.98416592326222
462,4441.296745697934
463,250.4627070961195
464,1292.8369421368557
465,104.5508152703793
466,4153.687334027778
467,71.56753096367845
468,205.53335816294646
469,177.11966798434054
470,78.12210216035321
471,221.85781820559785
472,308.8217615229851
473,784.0285725046105
474,610.1181857938958
475,264.04512533072324
476,516.4559002982244
477,3313.677457757608
478,1442.8223924228973
479,135.73299840136514
480,5639.6327325874645
481,121.45519249689522
482,964.9571770589824
483,1914.4969806447123
484,337.9325678224934
485,6338.471813328069
486,184.6655975308512
487,563.3395831538933
488,249.96517075563702
489,895.5336260732113
490,1926.4386691288848
491,256.09439268900286
492,2255.2261372796524
493,648.218264249344
494,2721.9045591935064
495,4056.5368166875164
496,3258.816383463241
497,624.4985992788762
498,557.1014898915971
499,354.0045187957805
500,530.2671762362262
501,341.5282070800593
502,3101.503950917072
503,312.66682610103095
504,366.40874565972223
505,25.598683232874443
506,1724.169628994992
507,45.46495089418748
508,760.8762897088278
509,1203.7116651192111
510,119.95965861992754
511,1088.6651110010266
512,382.8012867149991
513,280.32650272248776
514,223.1398771876786
515,434.6753084181492
516,499.11033370763994
517,290.4301448881173
518,164.4251720082115
519,704.9621335352841
520,460.8468062062797
521,358.2801814027463
522,1098.3887871481957
523,365.3159373969862
524,121.70092435853812
525,10.914113882526589
526,309.33535310138683
527,1461.5644017902232
528,387.42911273443565
529,411.0968714460714
530,267.2978673569135
531,1694.9573485405062
