,duration
149,4190.0
150,4350.0
151,9150.0
152,12430.0
153,4040.0
154,10000.0
155,2000.0
156,1800.0
157,3180.0
158,2700.0
159,13950.0
160,2280.0
161,2600.0
162,7200.0
163,1620.0
164,2800.0
165,1560.0
166,1300.0
167,2940.0
168,1230.0
169,2400.0
170,6930.0
171,3760.0
172,2890.0
173,6000.0
174,
175,7620.0
176,3960.0
177,6230.0
178,1390.0
179,4160.0
180,2820.0
181,2750.0
182,2380.0
183,2450.0
184,2340.0
185,6000.0
186,5840.0
187,4800.0
188,4070.0
189,2760.0
190,5580.0
191,2950.0
192,4120.0
193,8760.0
194,1270.0
195,3990.0
196,1540.0
197,2660.0
198,790.0
199,2780.0
200,3300.0
201,6790.0
202,2100.0
203,2600.0
204,4550.0
205,3120.0
206,3300.0
207,2920.0
208,1430.0
209,3500.0
210,10920.0
211,4400.0
212,3500.0
213,7880.0
214,2170.0
215,1670.0
216,2790.0
217,2670.0
218,2800.0
219,5650.0
220,1800.0
221,5060.0
222,3960.0
223,
224,1240.0
225,2160.0
226,4760.0
227,3800.0
228,12850.0
229,800.0
230,2090.0
231,9800.0
232,2700.0
233,12390.0
234,4950.0
235,850.0
236,5510.0
237,4800.0
238,2800.0
239,6080.0
240,4390.0
241,
242,8640.0
243,3340.0
244,2720.0
245,3960.0
246,2740.0
247,2900.0
248,4280.0
249,4850.0
250,7700.0
251,
252,5040.0
253,4000.0
254,2500.0
255,2900.0
256,6280.0
257,7200.0
258,3600.0
259,5520.0
260,2730.0
261,1560.0
262,2960.0
263,22440.0
264,12000.0
265,3470.0
266,7600.0
267,2500.0
268,2150.0
269,4300.0
270,2870.0
271,3800.0
272,7560.0
273,4900.0
274,1400.0
275,2400.0
276,2040.0
277,1960.0
278,4350.0
279,3800.0
280,2800.0
281,3600.0
282,4070.0
283,2500.0
284,2320.0
285,6320.0
286,1000.0
287,4930.0
288,2940.0
289,6930.0
290,2300.0
291,4320.0
292,4300.0
293,6100.0
294,7400.0
295,2590.0
296,15050.0
297,3150.0
298,6600.0
299,2760.0
300,2800.0
301,1570.0
302,2590.0
303,2400.0
304,2720.0
305,3640.0
306,2100.0
307,2880.0
308,900.0
309,3950.0
310,
311,3570.0
312,6090.0
313,8600.0
314,7890.0
315,5000.0
316,1430.0
317,4060.0
318,1800.0
319,3060.0
320,3510.0
321,9550.0
322,11720.0
323,5400.0
324,3300.0
325,4050.0
326,3300.0
327,1580.0
328,4900.0
329,5320.0
330,2800.0
331,5680.0
332,1520.0
333,2990.0
334,1500.0
335,9100.0
336,2100.0
337,1910.0
338,4010.0
339,2540.0
340,3680.0
341,11280.0
342,3030.0
343,3200.0
344,6640.0
345,1390.0
346,2600.0
347,2590.0
348,1500.0
349,1950.0
350,4100.0
351,6540.0
352,1270.0
353,4640.0
354,1200.0
355,2310.0
356,3390.0
357,8640.0
358,2720.0
359,6840.0
360,5520.0
361,6800.0
362,1100.0
363,5020.0
364,3870.0
365,2990.0
366,6790.0
367,1740.0
368,3000.0
369,2520.0
370,8070.0
371,2730.0
372,1600.0
373,5870.0
374,2220.0
375,7540.0
376,7900.0
377,3270.0
378,3420.0
379,3760.0
380,1750.0
381,10050.0
382,3100.0
383,6040.0
384,2000.0
385,4600.0
386,1200.0
387,2460.0
388,2680.0
389,2660.0
390,3800.0
391,3060.0
392,3440.0
393,2190.0
394,12920.0
395,2990.0
396,3280.0
397,3060.0
398,2610.0
