,width
1114,444
1115,480
1116,640
1117,480
1118,498
1119,640
1120,480
1121,343
1122,500
1123,500
1124,360
1125,300
1126,480
1127,336
1128,331
1129,480
1130,500
1131,319
1132,600
1133,400
1134,160
1135,268
1136,230
1137,480
1138,400
1139,480
1140,160
1141,300
1142,480
1143,500
1144,320
1145,336
1146,500
1147,530
1148,400
1149,480
1150,427
1151,268
1152,435
1153,480
1154,400
1155,320
1156,245
1157,480
1158,498
1159,245
1160,500
1161,544
1162,480
1163,736
1164,400
1165,500
1166,266
1167,500
1168,480
1169,500
1170,480
1171,480
1172,480
1173,270
1174,220
1175,480
1176,350
1177,418
1178,393
1179,500
1180,350
1181,500
1182,255
1183,480
1184,244
1185,500
1186,160
1187,480
1188,400
1189,320
1190,480
1191,480
1192,410
1193,370
1194,500
1195,283
1196,320
1197,640
1198,400
1199,365
1200,450
1201,320
1202,400
1203,498
1204,360
1205,464
1206,220
1207,480
1208,480
1209,480
1210,245
1211,480
1212,480
1213,1039
1214,500
1215,146
1216,500
1217,390
1218,490
1219,480
1220,400
1221,504
1222,320
1223,480
1224,435
1225,480
1226,500
1227,400
1228,384
1229,331
1230,359
1231,800
1232,200
1233,498
1234,245
1235,240
1236,435
1237,1920
1238,700
1239,191
1240,245
1241,500
1242,480
1243,540
1244,480
1245,480
1246,480
1247,350
1248,303
1249,487
1250,400
1251,480
1252,220
1253,320
1254,640
1255,500
1256,320
1257,900
1258,560
1259,480
1260,480
1261,480
1262,678
1263,400
1264,480
1265,270
1266,480
1267,480
1268,320
1269,480
1270,500
1271,250
1272,640
1273,500
1274,294
1275,480
1276,245
1277,320
1278,200
1279,600
1280,320
1281,480
1282,234
1283,640
1284,202
1285,800
1286,446
1287,205
1288,252
1289,480
1290,250
1291,500
1292,500
1293,245
1294,551
1295,500
1296,354
1297,498
1298,420
1299,250
1300,480
1301,480
1302,640
1303,448
1304,900
1305,320
1306,1120
1307,341
1308,640
1309,320
1310,480
1311,480
1312,480
1313,540
1314,240
1315,400
1316,728
1317,480
1318,578
1319,510
1320,245
1321,720
1322,209
1323,480
1324,435
1325,400
1326,200
1327,640
1328,500
1329,480
1330,300
1331,480
1332,640
1333,316
1334,379
1335,480
1336,840
1337,359
1338,480
1339,375
1340,1000
1341,640
1342,497
1343,450
1344,500
1345,480
1346,600
1347,480
1348,480
1349,220
1350,320
1351,350
1352,480
1353,500
1354,500
1355,640
1356,380
1357,475
1358,480
1359,244
1360,268
1361,480
1362,220
1363,320
1364,320
1365,320
1366,316
1367,220
1368,500
1369,385
1370,480
1371,918
1372,500
1373,720
1374,290
1375,480
1376,360
1377,480
1378,480
1379,480
1380,359
1381,300
1382,250
1383,296
1384,320
1385,320
1386,625
1387,360
1388,500
1389,337
1390,450
1391,408
1392,376
1393,500
1394,512
1395,720
1396,216
1397,480
1398,304
1399,500
1400,480
1401,1280
1402,500
1403,500
1404,320
1405,500
1406,458
1407,245
1408,480
1409,286
1410,720
1411,480
1412,500
1413,512
1414,450
1415,400
1416,664
1417,480
1418,484
1419,720
1420,480
1421,728
1422,500
1423,640
1424,417
1425,500
1426,160
1427,480
1428,500
1429,480
1430,300
1431,360
1432,320
1433,500
1434,480
1435,450
1436,625
1437,480
1438,480
1439,500
1440,283
1441,463
1442,660
1443,220
1444,300
1445,270
1446,400
1447,480
1448,548
1449,480
1450,197
1451,245
1452,300
1453,600
1454,480
1455,500
1456,302
1457,480
1458,480
1459,426
1460,220
1461,480
1462,498
1463,600
1464,245
1465,480
1466,500
1467,320
1468,480
1469,480
1470,480
1471,526
1472,500
1473,320
1474,500
1475,316
1476,300
1477,394
1478,202
1479,640
1480,480
1481,480
1482,728
1483,325
1484,800
1485,720
1486,480
1487,457
1488,640
1489,426
1490,480
1491,220
1492,480
1493,540
1494,728
1495,704
1496,640
1497,245
1498,416
1499,300
1500,480
1501,728
1502,245
1503,480
1504,320
1505,244
1506,200
1507,210
1508,350
1509,480
1510,350
1511,400
1512,480
1513,359
1514,500
1515,480
1516,498
1517,600
1518,640
1519,150
1520,720
1521,480
1522,500
1523,728
1524,480
1525,582
1526,220
1527,220
1528,498
1529,498
1530,500
1531,498
