,frames_duration
1206,27.0
1207,30.0
1208,172.0
1209,21.0
1210,18.0
1211,73.0
1212,68.0
1213,40.0
1214,100.0
1215,21.0
1216,82.0
1217,83.0
1218,75.0
1219,96.0
1220,36.0
1221,54.0
1222,25.0
1223,61.0
1224,72.0
1225,46.0
1226,64.0
1227,75.0
1228,80.0
1229,51.0
1230,23.0
1231,39.0
1232,61.0
1233,160.0
1234,23.0
1235,8.0
1236,36.0
1237,26.0
1238,60.0
1239,40.0
1240,61.0
1241,15.0
1242,40.0
1243,42.0
1244,33.0
1245,152.0
1246,53.0
1247,21.0
1248,93.0
1249,50.0
1250,120.0
1251,19.0
1252,25.0
1253,33.0
1254,106.0
1255,15.0
1256,48.0
1257,40.0
1258,33.0
1259,42.0
1260,67.0
1261,67.0
1262,200.0
1263,36.0
1264,94.0
1265,194.0
1266,26.0
1267,60.0
1268,110.0
1269,42.0
1270,107.0
1271,49.0
1272,108.0
1273,104.0
1274,41.0
1275,24.0
1276,28.0
1277,47.0
1278,30.0
1279,61.0
1280,22.0
1281,52.0
1282,19.0
1283,53.0
1284,61.0
1285,72.0
1286,51.0
1287,28.0
1288,50.0
1289,81.0
1290,15.0
1291,32.0
1292,23.0
1293,39.0
1294,95.0
1295,20.0
1296,58.0
1297,11.0
1298,153.0
1299,42.0
1300,54.0
1301,73.0
1302,600.0
1303,76.0
1304,172.0
1305,30.0
1306,88.0
1307,50.0
1308,106.0
1309,50.0
1310,33.0
1311,139.0
1312,182.0
1313,23.0
1314,84.0
1315,17.0
1316,60.0
1317,56.0
1318,49.0
1319,43.0
1320,50.0
1321,72.0
1322,169.0
1323,22.0
1324,43.0
1325,66.0
1326,82.0
1327,107.0
1328,106.0
1329,77.0
1330,57.0
1331,86.0
1332,128.0
1333,77.0
1334,55.0
1335,71.0
1336,34.0
1337,32.0
1338,97.0
1339,4.0
1340,23.0
1341,54.0
1342,43.0
1343,124.0
1344,18.0
1345,105.0
1346,38.0
1347,72.0
1348,27.0
1349,14.0
1350,40.0
1351,44.0
1352,106.0
1353,15.0
1354,43.0
1355,34.0
1356,29.0
1357,30.0
1358,105.0
1359,26.0
1360,41.0
1361,67.0
1362,22.0
1363,423.0
1364,34.0
1365,20.0
1366,77.0
1367,25.0
1368,45.0
1369,22.0
1370,46.0
1371,157.0
1372,36.0
1373,44.0
1374,104.0
1375,36.0
1376,10.0
1377,40.0
1378,34.0
1379,26.0
1380,30.0
1381,54.0
1382,33.0
1383,67.0
1384,225.0
1385,7.0
1386,47.0
1387,46.0
1388,102.0
1389,21.0
1390,160.0
1391,52.0
1392,61.0
1393,39.0
1394,57.0
1395,75.0
1396,21.0
1397,69.0
1398,34.0
1399,75.0
1400,57.0
1401,405.0
1402,35.0
1403,15.0
1404,78.0
1405,69.0
1406,61.0
1407,63.0
1408,20.0
1409,49.0
1410,76.0
1411,40.0
1412,6.0
1413,58.0
1414,124.0
1415,27.0
1416,20.0
1417,23.0
1418,91.0
1419,58.0
1420,67.0
1421,270.0
1422,76.0
1423,38.0
1424,75.0
1425,46.0
1426,45.0
1427,124.0
1428,17.0
1429,12.0
1430,34.0
1431,64.0
1432,34.0
1433,18.0
1434,28.0
1435,103.0
1436,13.0
1437,72.0
1438,67.0
1439,16.0
1440,71.0
1441,66.0
1442,86.0
1443,13.0
1444,191.0
1445,50.0
1446,301.0
1447,21.0
1448,8.0
1449,102.0
1450,12.0
1451,34.0
1452,39.0
1453,41.0
1454,55.0
1455,11.0
1456,139.0
1457,44.0
1458,89.0
1459,59.0
1460,41.0
1461,27.0
1462,27.0
1463,49.0
1464,14.0
1465,71.0
1466,12.0
1467,46.0
1468,60.0
1469,67.0
1470,72.0
1471,75.0
1472,36.0
1473,31.0
1474,167.0
1475,77.0
1476,133.0
1477,31.0
1478,188.0
1479,78.0
1480,85.0
1481,51.0
1482,97.0
1483,87.0
1484,40.0
1485,61.0
1486,99.0
1487,103.0
1488,120.0
1489,59.0
1490,59.0
1491,60.0
1492,61.0
1493,30.0
1494,275.0
1495,8.0
1496,429.0
1497,24.0
1498,60.0
1499,107.0
1500,61.0
1501,100.0
1502,24.0
1503,238.0
1504,33.0
1505,33.0
1506,126.0
1507,68.0
1508,92.0
1509,26.0
1510,228.0
1511,17.0
1512,51.0
1513,38.0
1514,10.0
1515,28.0
1516,225.0
1517,88.0
1518,26.0
1519,55.0
1520,26.0
1521,24.0
1522,8.0
1523,145.0
1524,46.0
1525,37.0
1526,16.0
1527,23.0
1528,27.0
1529,46.0
1530,33.0
1531,53.0
1532,100.0
1533,28.0
1534,53.0
1535,92.0
1536,33.0
1537,175.0
1538,36.0
1539,74.0
1540,13.0
1541,42.0
1542,86.0
1543,117.0
1544,131.0
1545,4.0
1546,21.0
1547,60.0
1548,21.0
1549,91.0
1550,32.0
1551,32.0
1552,28.0
1553,31.0
1554,63.0
1555,60.0
1556,74.0
1557,47.0
1558,150.0
1559,39.0
1560,46.0
1561,44.0
1562,26.0
1563,18.0
1564,26.0
1565,28.0
1566,200.0
1567,33.0
1568,20.0
1569,61.0
1570,34.0
1571,61.0
1572,71.0
1573,109.0
1574,162.0
1575,58.0
1576,35.0
1577,43.0
1578,97.0
1579,22.0
1580,80.0
1581,44.0
1582,21.0
1583,31.0
1584,75.0
1585,22.0
1586,83.0
1587,61.0
1588,54.0
1589,81.0
1590,97.0
1591,-9.223372036854776e+18
1592,59.0
1593,213.0
1594,35.0
1595,104.0
1596,113.0
1597,12.0
1598,9.0
1599,52.0
1600,21.0
1601,9.0
1602,79.0
1603,60.0
1604,115.0
1605,43.0
1606,25.0
1607,28.0
1608,54.0
1609,39.0
1610,51.0
1611,18.0
1612,10.0
1613,43.0
1614,22.0
1615,70.0
1616,20.0
1617,75.0
1618,13.0
1619,36.0
1620,54.0
1621,115.0
1622,73.0
1623,42.0
1624,92.0
1625,22.0
1626,106.0
1627,20.0
1628,25.0
1629,30.0
1630,42.0
1631,29.0
1632,84.0
1633,156.0
1634,136.0
1635,-9.223372036854776e+18
1636,57.0
1637,18.0
1638,78.0
1639,36.0
1640,15.0
1641,132.0
1642,20.0
1643,25.0
1644,23.0
1645,12.0
1646,39.0
1647,46.0
1648,10.0
1649,54.0
1650,40.0
1651,71.0
1652,132.0
1653,22.0
1654,74.0
1655,58.0
1656,24.0
1657,51.0
1658,23.0
1659,48.0
1660,27.0
1661,137.0
1662,157.0
1663,32.0
1664,22.0
1665,54.0
1666,151.0
1667,129.0
1668,19.0
1669,48.0
1670,20.0
1671,35.0
1672,8.0
1673,14.0
1674,74.0
1675,25.0
1676,41.0
1677,50.0
1678,60.0
1679,10.0
1680,26.0
1681,23.0
1682,56.0
1683,17.0
1684,14.0
1685,61.0
1686,10.0
1687,46.0
1688,40.0
1689,15.0
1690,107.0
1691,118.0
1692,41.0
1693,24.0
1694,68.0
1695,36.0
1696,36.0
1697,97.0
1698,74.0
1699,20.0
1700,17.0
1701,18.0
1702,17.0
1703,30.0
1704,105.0
1705,90.0
1706,24.0
1707,100.0
1708,69.0
1709,50.0
1710,35.0
1711,36.0
1712,91.0
1713,40.0
1714,23.0
1715,58.0
1716,38.0
1717,3.0
1718,29.0
1719,30.0
1720,35.0
1721,33.0
1722,67.0
1723,148.0
1724,63.0
1725,186.0
1726,113.0
1727,20.0
1728,111.0
1729,66.0
1730,80.0
1731,14.0
1732,26.0
1733,136.0
1734,26.0
1735,23.0
1736,4.0
1737,47.0
1738,56.0
1739,288.0
1740,143.0
1741,23.0
1742,23.0
1743,70.0
1744,20.0
1745,42.0
1746,17.0
1747,200.0
1748,70.0
1749,23.0
1750,73.0
1751,85.0
1752,142.0
1753,53.0
1754,53.0
1755,125.0
1756,39.0
1757,15.0
1758,23.0
1759,200.0
1760,41.0
1761,64.0
1762,61.0
1763,29.0
1764,18.0
1765,41.0
1766,67.0
1767,38.0
1768,25.0
1769,62.0
1770,40.0
1771,75.0
1772,60.0
1773,143.0
1774,24.0
1775,146.0
1776,64.0
1777,117.0
1778,73.0
1779,112.0
1780,16.0
1781,14.0
1782,26.0
1783,73.0
1784,59.0
1785,64.0
1786,47.0
1787,78.0
1788,195.0
1789,85.0
1790,22.0
1791,200.0
1792,37.0
1793,65.0
1794,-9.223372036854776e+18
1795,31.0
1796,58.0
1797,24.0
1798,34.0
1799,16.0
1800,37.0
1801,146.0
1802,30.0
1803,17.0
1804,74.0
1805,72.0
1806,47.0
1807,232.0
1808,18.0
1809,69.0
1810,33.0
1811,14.0
1812,2.0
1813,21.0
1814,28.0
1815,43.0
1816,14.0
1817,117.0
1818,80.0
1819,132.0
1820,20.0
1821,30.0
1822,31.0
1823,48.0
1824,30.0
1825,39.0
1826,38.0
1827,59.0
1828,18.0
1829,41.0
1830,50.0
1831,35.0
1832,20.0
1833,72.0
1834,32.0
1835,73.0
1836,103.0
1837,14.0
1838,36.0
1839,23.0
1840,40.0
1841,9.0
1842,40.0
1843,48.0
1844,6.0
1845,230.0
1846,47.0
1847,45.0
1848,70.0
1849,23.0
1850,280.0
1851,28.0
1852,103.0
