,avg_sharpness
277,7.153176389069625
278,7.542349635865977
279,5.693856611891299
280,9.289434548937688
281,6.490042510009498
282,7.0099593037264745
283,7.031964513046936
284,5.6008428900285665
285,5.8138592709678045
286,7.314108603891021
287,7.017594339089765
288,5.916709407900179
289,6.450857241325119
290,6.545007176939609
291,6.888225078749981
292,8.474622534410903
293,7.32150677720253
294,6.3604050409565005
295,8.579825767188996
296,7.612535103642687
297,7.256943386787237
298,6.648402235613158
299,8.651613458648793
300,6.238540108810864
301,8.58624306139177
302,6.745238861327388
303,6.445835793853258
304,5.107839329118709
305,5.720426091226045
306,6.243647996069844
307,7.375714821979692
308,4.909615564717933
309,6.3382053962309355
310,7.040212276785467
311,6.313740447192885
312,6.3815448231745595
313,6.297565398727524
314,6.447492947192199
315,5.793229727289862
316,5.577649040199855
317,5.90900878108409
318,7.208669603362219
319,5.666417639990771
320,6.815439938829108
321,5.418720940353388
322,4.88441880572144
323,6.784369176901633
324,5.327104169713855
325,6.371517379782379
326,5.9759618399164305
327,5.290880932652785
328,7.620105603669147
329,7.9439670561169615
330,7.170118355259774
331,6.039616830921888
332,6.284619948159483
333,5.995903071162941
334,6.477394618590066
335,6.7455697508830745
336,5.459021893309499
337,5.652210002968778
338,6.734521780324112
339,7.487504827374904
340,4.751510601683502
341,6.135924077987577
342,8.736916041658343
343,6.192010884246919
344,7.185209327061427
345,5.999622098288137
346,6.973386034818612
347,8.037976303818489
348,5.45026324714094
349,6.021132768277325
350,6.588192784450041
351,4.605879878770919
352,7.045631888904899
353,6.934882981100933
354,6.660948183221974
355,5.8838589907989
356,7.746598024175501
357,7.874535381354236
358,6.861119124887225
359,7.3918138189936
360,6.653543528317976
361,6.818012261245521
362,7.300939016136136
363,8.046262636167633
364,6.631087722047484
365,3.3490319296650357
366,5.794909134442172
367,5.977907875151883
368,7.592073660261819
369,7.87192998317442
370,6.344890856914014
371,6.492883900537786
372,8.42908133195159
373,5.35923711218811
374,7.82838853694215
375,5.244472006401209
376,6.9616023236970745
377,7.197892729783712
378,6.329101500409969
379,6.334299016762776
380,7.82183686555928
381,5.889374818782157
382,7.210302902333578
383,6.747858853839253
384,6.787852574835959
385,6.067334364940007
386,7.410755857346357
387,7.116914774877082
388,6.36937086445401
389,7.466560059153011
390,7.013222023742417
391,5.219598918234215
392,6.87817694860561
393,7.3850407982159645
394,6.694266014587434
395,6.97551951746534
396,7.964764773153093
397,8.270616464322313
398,6.498721621432547
399,7.930654607966683
400,7.076932068928187
401,7.216739281690106
402,7.2262373330226435
403,7.3686300848505475
404,6.635371122564853
405,6.217495085735796
406,4.4248365583656355
407,6.520733102381812
408,6.850957513464548
409,6.255375076295179
410,6.364834210910425
