,max_sharpness
421,1870.7748783138557
422,132.7332323274835
423,271.80053876219563
424,3279.4379368413847
425,488.19928242508246
426,179.66264815868485
427,3520.514987933833
428,836.2064348510212
429,805.2773194142062
430,876.0768888029168
431,643.6475014659386
432,3965.0399319010417
433,428.39044388873543
434,674.8958598177725
435,870.2293647955556
436,459.48331223717554
437,1761.1528661391087
438,1049.660978961203
439,477.840893378416
440,395.8733446333858
441,138.40218562961488
442,1161.2735944796711
443,442.08912330374443
444,4173.480319093184
445,719.994756458763
446,474.4239280887654
447,264.5626243950403
448,947.2747746197601
449,289.6568594887644
450,344.8165873791269
451,721.5112855881343
452,1055.6705832218915
453,1784.9221617245985
454,2644.3132393393557
455,561.8561680515501
456,771.3624654161467
457,610.5886176089966
458,2147.309654670588
459,634.2713586062155
460,553.246550303885
461,301.96211050105137
462,4520.328768806789
463,802.9672067315734
464,1493.246414456212
465,156.99768079661428
466,4270.649046777344
467,187.0043184937077
468,378.2866076869331
469,376.345486707841
470,2111.300439595523
471,260.0471279095821
472,547.3872781337037
473,1008.0541554270877
474,717.4808024288886
475,355.7744137852156
476,546.2040675744892
477,3330.1050699282737
478,1585.355112978904
479,192.75638245335395
480,5820.005998291782
481,141.39681112999244
482,1791.195448055746
483,2064.98623134224
484,866.3103878837666
485,6983.8574066578385
486,221.4146515530713
487,1739.621693200966
488,344.719258589999
489,1130.534000113732
490,2419.079702719447
491,376.87009997997023
492,3271.6717177464834
493,1635.0674042519042
494,3110.5796419367634
495,5893.310022257526
496,3414.9044046573595
497,925.9110237587622
498,974.6875284565974
499,1126.6595220143176
500,1980.0294204789789
501,1255.2562319444448
502,4194.438262498338
503,739.1607498318546
504,586.8597645905336
505,42.61885408396548
506,2509.9421684898366
507,185.01601680142267
508,1221.1409810697078
509,1304.3951819289773
510,315.46634286359307
511,1311.0546532406809
512,386.50499815576893
513,394.21797410028177
514,286.0245464588542
515,730.0108628402273
516,1200.0852126302084
517,409.60086041666665
518,1063.6441893463123
519,2445.9291269046616
520,876.2472728369165
521,2540.5225076787965
522,1268.4894709552023
523,660.5952588446105
524,155.23920599868723
525,262.24115078581576
526,1154.0211146792822
527,3313.846336226167
528,503.18618776176527
529,563.4330167451094
530,712.5155628976543
531,2064.1466790526592
532,255.39438696287175
533,1355.522213539206
534,1199.141224425196
535,2788.607436533113
536,662.2904041555609
537,181.70370075823675
538,3539.6577956816886
539,1177.4911087265843
540,141.83447041472579
541,971.9574070937316
542,233.47843829321525
543,1008.4644640193056
544,841.4197087237646
545,763.3259000046404
546,915.3740030364291
547,1544.9697341436001
548,491.21777098997495
549,1363.646349820224
550,1137.1772320638488
551,2701.9066441066666
552,496.64677082248255
553,651.955557280816
554,582.0481443786622
555,2449.486907098728
556,4219.922861206161
557,1748.3358093488255
558,1343.7875877068159
559,376.31464106940757
560,1058.5018512695144
561,1400.026279489475
562,817.0277637016436
563,1067.1530144148508
564,1321.4196866974826
565,446.49605468594956
566,595.8239838590843
567,228.67077608876073
568,599.4711547654321
569,250.5533736796858
570,740.2051747246575
571,2843.413850099375
572,550.4397566330406
573,1026.0957698309066
574,3369.5728478677474
575,3694.3316300194097
576,351.8385737944501
577,331.1202518771831
578,942.0888382688171
579,509.82272506033115
580,989.6491701034546
581,475.00393644581925
582,404.47510022155257
583,2173.7306655498846
584,209.34684875006286
585,215.5308890647336
586,1575.4747464554516
587,1126.2043943596805
588,1975.992824958508
589,352.5361073146472
590,5432.355110326947
591,985.5245127049374
592,494.9133344014486
593,297.7927134902614
594,212.2208457629166
595,3094.615444756407
596,1176.0435214208042
597,1569.8192921252773
598,693.7069508526647
599,1465.4422739831198
600,1926.2373860407886
601,486.15599377284514
602,1430.9379213460534
603,1282.4315627643164
604,941.4072593196487
605,2077.5947262044856
606,289.13416305705766
607,1114.822283850208
608,4753.079583087846
609,250.16598024268873
610,3288.4268318808604
611,1322.159956482376
612,826.976886763905
613,2862.956824017778
614,712.2234612005957
615,1041.2405864137993
616,719.5773944863889
617,435.5204826980969
618,485.38717261193017
619,703.8029468749999
620,2718.1807183187957
621,2151.3191077198717
622,472.53130097351004
623,96.66059533125427
624,1598.1502038005128
625,812.9653391229899
626,3371.166224656539
627,2443.7220864700066
628,3640.0963156356825
629,713.5466568205677
630,1639.5154978101593
631,2198.8881146694216
632,282.32701836760697
633,534.1848031816647
634,370.03881892612435
635,5625.658462589216
636,384.91716811868537
637,2100.561709257116
638,1020.965938286697
639,2420.713547484963
640,855.7875296974562
641,882.1934560406398
642,1920.0312897188935
643,2339.889514927507
644,135.33540521383284
645,1233.566366102126
646,942.1396896852614
647,1338.27241449152
648,318.30617560443227
649,619.6784320152079
650,2338.1054694659824
651,1473.620375384269
652,2256.5496447200994
653,1128.641854135308
654,1988.1642639191866
655,1993.842100433769
656,671.1004879647826
657,4057.1368549007257
658,1707.8277096573856
659,1842.6536925377598
660,1022.864687098069
661,1164.7968285451054
662,1001.5822091847633
663,1154.7393610688582
664,4361.322397992781
665,404.7509930821457
666,1553.4525514972086
667,1998.4415777958932
668,881.2916581313775
669,789.9848175227158
670,1427.7113043011113
671,1099.8419783757718
672,1497.0956045309426
